,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
revenue,137.969,130.276,128.573,122.741,110.962,94.56,89.644,77.14,68.65,44.591,42.898,37.4,32.381,26.488,26.888,22.64,19.973,18.283,16.488,12.94,10.905,10.289,9.407,
cost-goods-sold,42.799,41.634,44.677,40.028,34.167,27.684,26.856,22.716,16.742,10.026,12.139,10.025,7.112,6.891,7.943,6.479,4.488,4.793,5.281,3.77,2.151,2.027,1.982,
gross-profit,95.17,88.642,83.896,82.713,76.795,66.876,62.788,54.424,51.908,34.565,30.759,27.375,25.269,19.597,18.945,16.161,15.485,13.49,11.207,9.17,8.754,8.262,7.425,
research-development-expenses,15.746,16.665,15.987,13.544,13.577,14.348,12.904,10.446,9.964,7.537,6.512,5.894,5.867,4.829,5.225,4.16,3.941,3.203,2.906,2.36,1.96,2.064,1.192,
selling-general-administrative-expenses,86.122,80.997,78.598,74.525,68.285,60.26,58.109,57.202,47.659,35.475,35.092,30.624,29.006,24.944,24.957,21.18,20.472,19.55,19.991,12.35,10.001,8.502,8.007,
other-operating-income-expenses,-1.634,-2.019,-1.586,-1.49,0.623,3.431,-1.045,-1.376,-0.882,-1.264,-1.35,-1.49,-1.85,-1.965,-1.97,-3.085,-2.161,-6.065,,,,,,
operating-expenses,157.913,152.299,151.46,140.578,126.74,112.707,108.736,101.699,90.191,59.083,57.7,50.63,52.638,40.95,41.603,36.986,32.568,34.534,29.081,19.19,14.762,13.147,11.595,
operating-income,-19.944,-22.023,-22.887,-17.837,-15.778,-18.147,-19.092,-24.559,-21.541,-14.492,-14.802,-13.23,-20.257,-14.462,-14.715,-14.346,-12.595,-16.251,-12.593,-6.25,-3.857,-2.858,-2.188,
total-non-operating-income-expense,-7.7,-7.211,-6.521,-6.663,-7.666,-6.91,-4.873,-20.478,-9.659,-0.774,-0.702,-0.881,-9.327,-0.407,-0.427,-0.5,-0.489,-0.642,-0.568,-0.59,-0.51,-0.349,-0.054,
pre-tax-income,-27.644,-29.234,-29.408,-24.5,-23.444,-25.057,-23.965,-45.037,-31.2,-15.266,-15.504,-14.111,-29.584,-14.869,-15.142,-14.846,-13.084,-16.893,-13.161,-6.84,-4.367,-3.207,-2.242,
total-provision-income-taxes,-7.298,0.09,0.742,0.379,-0.18,0.022,-0.103,-0.654,0.13,0.149,0.15,0.15,0.188,0.01,0.162,0.161,0.162,0.171,-0.458,0.143,0.162,0.007,0.072,
income-after-taxes,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,0.0,,,,
net-income,-20.346,-29.324,-30.15,-24.879,-23.264,-25.079,-23.862,-44.383,-31.33,-15.415,-15.654,-14.261,-29.772,-14.879,-15.304,-15.007,-13.246,-17.064,-12.703,-7.0,-5.531,-4.255,-3.345,
ebitda,-1.452,-4.856,-5.264,-2.386,-0.066,-5.492,-7.821,-1.372,-10.432,-11.778,-12.213,-10.4,-10.079,-12.858,-13.078,-12.581,-10.944,-15.286,-11.651,-5.515,-3.154,-2.292,-1.772,
ebit,-19.944,-22.023,-22.887,-17.837,-15.778,-18.147,-19.092,-24.559,-21.541,-14.492,-14.802,-13.23,-20.257,-14.462,-14.715,-14.346,-12.595,-16.251,-12.593,-6.25,-3.857,-2.858,-2.188,
basic-shares-outstanding,72.151,71.721,70.919,65.845,68.248,62.976,61.798,55.427,56.493,54.573,52.193,42.331,45.86,38.717,38.584,19.917,36.01,2.37,2.162,1.963,2.06,1.975,1.424,
shares-outstanding,72.151,71.721,70.919,65.845,68.248,62.976,61.798,55.427,56.493,54.573,52.193,42.331,45.86,38.717,38.584,19.917,36.01,2.37,2.162,1.963,2.06,1.975,1.424,
eps-basic-net-earnings-per-share,-0.28,-0.41,-0.43,-0.34,-0.34,-0.4,-0.39,-0.8,-0.55,-0.28,-0.3,-0.32,-0.65,-0.38,-0.4,10.53,-0.37,-7.2,-5.87,-3.07,-2.68,-2.15,-2.35,
eps-earnings-per-share-diluted,-0.28,-0.41,-0.43,-0.34,-0.34,-0.4,-0.39,-0.8,-0.55,-0.28,-0.3,-0.32,-0.65,-0.38,-0.4,10.53,-0.37,-7.2,-5.87,-3.07,-2.68,-2.15,-2.35,0.0
