,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31
revenue,61.95,66.3,52.252,53.28,46.986,43.575,35.963,37.687,41.334,30.887,21.048,13.809,5.177,5.52,0.445,0.447,0.445,0.445,1.445,0.4466,0.445,0.445,0.4054,0.4058,0.4054,0.4054,0.4054,0.405,0.5232,0.7588,0.7588,,0.641,
cost-goods-sold,0.487,0.677,0.574,1.007,0.519,0.713,0.28,0.823,0.172,0.279,0.097,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,61.463,65.623,51.678,52.273,46.467,42.862,35.683,36.864,41.162,30.608,20.951,13.809,5.177,5.52,0.445,0.447,0.445,0.445,1.445,0.4466,0.445,0.445,0.4054,0.4058,0.4054,0.4054,0.4054,0.405,0.5232,0.7588,0.7588,,0.641,
research-development-expenses,60.168,59.599,58.396,63.273,47.941,47.415,48.672,57.498,45.977,44.192,43.832,51.602,35.411,34.9,31.98,28.948,27.487,28.295,27.966,23.7183,27.381,14.919,14.2927,9.5838,8.3926,5.133,4.8326,4.81,3.3183,5.018,3.0596,,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,137.483,129.959,136.197,135.251,105.272,113.352,111.419,142.656,107.505,111.396,105.011,127.816,88.213,83.615,127.845,89.336,52.229,49.269,41.104,35.5772,36.517,22.874,19.9438,14.3134,11.5077,8.0235,7.2294,7.0,4.3094,5.9619,4.1188,,,
operating-income,-75.533,-63.659,-83.945,-81.971,-58.286,-69.777,-75.456,-104.969,-66.171,-80.509,-83.963,-114.007,-83.036,-78.095,-127.4,-88.889,-51.784,-48.824,-39.659,-35.1306,-36.072,-22.429,-19.5384,-13.9076,-11.1023,-7.6181,-6.824,-6.595,-3.7862,-5.2031,-3.36,,0.641,
total-non-operating-income-expense,-9.3,-7.761,-6.325,-6.034,-6.168,-5.416,-6.134,-6.303,-6.43,-6.055,-5.967,-6.035,-5.779,0.796,0.726,0.636,0.889,0.93,0.272,0.3074,0.228,55.899,-226.4904,1.5387,-20.6348,-5.8588,-3.3861,-24.11,-1.4008,0.1171,0.6803,,,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,
net-income,-84.833,-71.42,-90.27,-88.005,-64.454,-75.193,-81.59,-111.272,-72.601,-86.564,-89.93,-120.042,-88.815,-77.299,-126.674,-88.254,-50.895,-47.894,-39.386,-34.8242,-35.843,33.47,-246.0288,-12.3679,-31.7371,-13.4769,-10.2102,-30.691,-6.187,-5.836,-3.4297,,-2.841,
ebitda,-70.422,-56.148,-77.743,-77.222,-53.497,-64.757,-69.892,-99.279,-60.321,-74.991,-78.67,-107.56,-77.994,-76.114,-125.173,-86.472,-49.449,-46.717,-38.525,-33.9226,-34.971,-21.5426,-18.9248,-13.3421,-10.5277,-7.0598,-6.8014,-6.4635,-3.7618,-5.1234,-3.2857,,0.641,
ebit,-75.533,-63.659,-83.945,-81.971,-58.286,-69.777,-75.456,-104.969,-66.171,-80.509,-83.963,-114.007,-83.036,-78.095,-127.4,-88.889,-51.784,-48.824,-39.659,-35.1306,-36.072,-22.429,-19.5384,-13.9076,-11.1023,-7.6181,-6.824,-6.595,-3.7862,-5.2031,-3.36,,0.641,
basic-shares-outstanding,32.717,31.316,29.76,28.464,29.615,29.199,25.309,25.054,25.104,25.028,24.931,24.663,24.738,24.612,24.495,23.694,24.215,24.014,22.172,20.784,21.26,20.965,19.505,18.029,19.199,16.97,16.558,15.223,3.33,3.329,3.33,,3.33,
shares-outstanding,32.717,31.316,29.76,28.464,29.615,29.199,25.309,25.054,25.104,25.028,24.931,24.663,24.738,24.612,24.495,23.694,24.215,24.014,22.172,20.784,21.26,22.205,19.505,18.029,19.199,16.97,16.558,15.223,3.33,3.329,3.33,,3.33,
eps-basic-net-earnings-per-share,-2.59,-2.28,-3.03,-2.88,-2.18,-2.58,-3.22,-4.42,-2.89,-3.46,-3.61,-4.84,-3.59,-3.14,-5.17,-3.69,-2.1,-1.99,-1.78,-0.93,-1.69,1.6,-12.61,-0.7,-1.65,-0.79,-0.62,-2.02,-1.86,-1.75,-1.03,,-1.08,
eps-earnings-per-share-diluted,-2.59,-2.28,-3.03,-2.88,-2.18,-2.58,-3.22,-4.42,-2.89,-3.46,-3.61,-4.84,-3.59,-3.14,-5.17,-3.69,-2.1,-1.99,-1.78,-0.84,-1.69,1.51,-12.61,-0.7,-1.65,-0.79,-0.62,-2.02,-1.86,-1.75,-1.03,0.0,-1.08,0.0
