,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31
revenue,20.624,26.623,163.816,10.197,19.241,18.321,17.108,21.688,9.906,5.713,6.094,,,,,
cost-goods-sold,2.401,5.783,2.444,2.789,8.944,,,,,,,,,,,
gross-profit,18.223,20.84,161.372,7.408,10.297,18.321,17.108,21.688,9.906,5.713,6.094,,,,,
research-development-expenses,24.797,20.271,99.619,33.532,29.381,39.457,27.97,25.969,17.64,18.487,64.794,,17.005,10.944,,
selling-general-administrative-expenses,34.905,50.74,44.602,45.934,45.924,42.287,19.465,17.017,8.373,6.915,4.676,,2.897,2.762,,
other-operating-income-expenses,8.889,11.465,9.056,,,,,,,,,,,,,
operating-expenses,53.214,65.329,137.609,82.255,84.249,81.744,47.435,42.986,26.013,25.402,69.47,,19.902,13.706,,
operating-income,-32.59,-38.706,26.207,-72.058,-65.008,-63.423,-30.327,-21.298,-16.107,-19.689,-63.376,,-19.902,-13.706,,
total-non-operating-income-expense,1.351,1.543,1.112,1.501,1.65,1.591,0.7,0.8,0.536,-0.67,-0.48,,0.093,0.091,,
pre-tax-income,-31.239,-37.163,27.319,-70.557,-63.358,-61.832,-29.627,-20.498,-15.571,-20.359,-63.856,,-19.809,-13.615,,
total-provision-income-taxes,0.259,0.16,0.132,,0.233,0.214,0.0,-0.791,2.066,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,
net-income,-31.498,-37.323,27.187,-70.557,-63.591,-62.046,-29.627,-19.707,-17.637,-20.359,-63.856,,-19.809,-13.615,,
ebitda,-30.721,-36.755,27.631,-70.025,-64.219,-63.297,-30.121,-21.054,-15.879,-19.517,-63.293,,-19.81,-13.706,,
ebit,-32.59,-38.706,26.207,-72.058,-65.008,-63.423,-30.327,-21.298,-16.107,-19.689,-63.376,,-19.902,-13.706,,
basic-shares-outstanding,93.0429,92.7952,90.708,81.365,87.2099,82.3247,66.619,30.262,36.556,,,,,,,
shares-outstanding,93.0429,92.7952,94.128,81.365,87.2099,82.3247,66.619,30.262,36.556,,,,,,,
eps-basic-net-earnings-per-share,-0.34,-0.4,0.3,-0.89,-0.73,-0.72,-0.44,-3.54,-0.48,,,,,,,
eps-earnings-per-share-diluted,-0.34,-0.4,0.29,-0.76,-0.73,-0.85,-0.44,-3.54,-0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
