,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
revenue,2.967,0.408,0.157,0.002,0.027,0.196,0.011,0.186,0.044,0.223,0.055,0.089,0.105,0.116,0.106,
cost-goods-sold,3.528,0.303,0.034,,,,,,,,,,,0.1,0.1,
gross-profit,-0.561,0.105,0.123,0.002,0.027,0.196,0.011,0.186,0.044,0.223,0.055,0.089,0.105,0.016,0.006,
research-development-expenses,3.579,2.738,2.044,2.117,3.44,3.241,1.048,2.399,6.438,1.453,1.266,1.73,1.236,1.306,1.37,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,
operating-expenses,13.66,9.9,7.68,8.63,7.726,7.688,4.307,6.999,12.991,3.463,2.844,4.66,2.59,2.608,2.667,
operating-income,-10.693,-9.492,-7.523,-8.628,-7.699,-7.492,-4.296,-6.813,-12.947,-3.24,-2.789,-4.571,-2.485,-2.492,-2.561,
total-non-operating-income-expense,0.024,0.089,0.148,0.16,0.216,-0.084,-0.074,-0.036,0.043,-0.155,-0.043,0.021,-0.022,0.035,-0.008,
pre-tax-income,,,,,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,0.0,,,,
net-income,-10.669,-9.403,-7.375,-8.468,-7.483,-7.576,-4.37,-6.849,-12.904,-3.395,-2.832,-4.576,-2.507,-2.457,-2.569,
ebitda,-10.331,-9.145,-7.181,-8.274,-7.343,-7.277,-4.14,-6.676,-12.801,-3.105,-2.656,-4.381,-2.404,-2.478,-2.506,
ebit,-10.693,-9.492,-7.523,-8.628,-7.699,-7.492,-4.296,-6.813,-12.947,-3.24,-2.789,-4.571,-2.485,-2.492,-2.561,
basic-shares-outstanding,32.866,32.733,32.6779,30.683,32.381,29.841,27.851,23.154,25.532,19.6,19.6,19.6,19.6,19.6,8.0,
shares-outstanding,32.866,32.733,32.6779,30.683,32.381,29.841,27.851,23.154,25.532,19.6,19.6,19.6,19.6,19.6,8.0,
eps-basic-net-earnings-per-share,-0.32,-0.29,-0.23,-0.27,-0.23,-0.25,-0.16,-0.3,-0.51,-0.17,-0.14,-0.04,-0.13,-0.13,-0.32,
eps-earnings-per-share-diluted,-0.32,-0.29,-0.23,-0.27,-0.23,-0.25,-0.16,-0.3,-0.51,-0.17,-0.14,-0.04,-0.13,-0.13,-0.32,0.0
