,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31
revenue,20.918,18.374,21.533,19.378,15.795,14.941,20.645,16.022,11.603,12.359,12.535,14.885,10.813,12.512,11.064,13.186,8.472,7.646,10.107,9.826,6.3,6.555,7.913,6.451,4.637,5.215,11.101,9.442,5.256,3.612,2.159,2.034,1.316,0.901,0.758,0.787,0.653,0.651,0.399,0.306,0.255,0.249,0.188
cost-goods-sold,13.868,11.801,15.67,14.106,10.165,10.527,16.48,11.287,7.4,7.475,6.352,6.243,4.362,4.72,4.375,4.688,3.352,3.286,3.991,3.827,2.609,3.1,3.591,3.197,4.138,3.201,5.034,4.761,3.027,2.165,1.687,1.63,1.785,1.294,1.501,1.899,1.22,0.86,,,,,
gross-profit,7.05,6.573,5.863,5.272,5.63,4.414,4.165,4.735,4.203,4.884,6.183,8.642,6.451,7.792,6.689,8.498,5.12,4.36,6.116,5.999,3.691,3.455,4.322,3.254,0.499,2.014,6.067,4.681,2.229,1.447,0.472,0.404,-0.469,-0.393,-0.743,-1.112,-0.567,-0.209,0.399,0.306,0.255,0.249,0.188
research-development-expenses,6.294,7.749,6.343,5.924,6.105,10.482,5.42,8.463,10.248,13.014,11.035,12.357,11.628,13.204,12.269,10.18,9.589,8.924,8.779,8.526,7.904,8.123,7.27,6.275,5.398,5.006,5.381,4.1,4.467,3.02,1.949,2.02,1.903,2.292,2.564,3.266,1.66,1.72,,,,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,31.206,30.284,32.443,29.99,26.363,30.743,31.435,29.985,26.334,29.626,26.091,26.943,22.44,25.1,23.772,21.647,19.589,19.576,20.134,18.483,16.572,17.82,16.773,16.722,16.928,13.302,15.332,14.037,11.489,9.193,7.641,7.47,7.421,6.616,7.407,11.235,5.58,5.78,,,,,
operating-income,-10.288,-11.91,-10.91,-10.612,-10.568,-15.802,-10.79,-13.963,-14.731,-17.267,-13.556,-12.058,-11.627,-12.588,-12.708,-8.461,-11.117,-11.93,-10.027,-8.657,-10.272,-11.265,-8.86,-10.271,-12.291,-8.087,-4.231,-4.595,-6.233,-5.581,-5.482,-5.436,-6.105,-5.715,-6.649,-10.448,-4.927,-5.129,0.399,0.306,0.255,0.249,0.188
total-non-operating-income-expense,-1.42,-1.353,-1.154,-0.871,-0.42,-0.685,-0.613,-0.541,-0.686,-0.645,-0.36,-0.564,-0.417,-0.324,-0.215,-0.306,-0.273,-0.223,0.18,0.063,-0.002,0.074,0.083,-0.348,1.497,0.069,0.063,0.007,-0.018,-0.009,-0.044,-0.011,-0.209,0.147,0.018,1.632,0.007,0.004,,,,,
pre-tax-income,-11.708,-13.263,-12.064,-11.483,-10.988,-16.487,-11.403,-14.504,-15.417,-17.912,-13.916,-12.622,-12.044,-12.912,-12.923,-8.767,-11.39,-12.153,-9.847,-8.594,-10.274,-11.191,-8.777,-10.619,-10.794,-8.018,-4.168,-4.588,-6.251,-5.59,-5.526,-5.41,-6.314,-5.568,-6.631,0.787,-4.91,-5.13,0.399,0.306,0.255,0.249,0.188
total-provision-income-taxes,-0.033,0.045,0.016,0.08,0.005,0.034,0.02,0.032,-0.009,0.077,0.001,0.056,0.014,-0.005,0.035,0.015,0.004,-0.001,0.022,0.018,-0.616,0.019,0.006,0.013,0.023,0.001,0.007,0.105,0.001,0.01,0.032,0.031,-0.001,0.012,0.011,,0.0,0.0,,,,,
