,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31,2010-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,2.984,3.333,5.347,4.031,5.771,7.58,32.486,13.218,8.333,7.822,10.135,8.262,6.68,9.229,6.52,363.341,5.858,6.315,4.287,4.645,6.059,4.981,3.546,3.785,3.482,3.549,2.975,,2.862,,
research-development-expenses,26.948,29.425,31.753,34.733,44.687,33.38,43.552,32.671,42.733,41.744,33.76,29.149,23.89,22.177,18.856,20.956,24.72,13.31,11.211,12.571,9.803,11.873,8.926,8.077,8.193,8.585,7.93,,6.51,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,40.154,39.086,42.263,44.312,54.519,43.162,54.03,43.15,52.407,51.107,44.246,39.671,33.036,30.283,26.913,29.558,29.933,17.906,15.431,16.539,13.163,14.897,12.206,11.119,10.8,10.971,10.322,,8.767,,
operating-income,-37.17,-35.753,-36.916,-40.281,-48.748,-35.582,-21.544,-29.932,-44.074,-43.285,-34.111,-31.409,-26.356,-21.054,-20.393,333.783,-24.075,-11.591,-11.144,-11.894,-7.104,-9.916,-8.66,-7.334,-7.318,-7.422,-7.347,,-5.905,,
total-non-operating-income-expense,1.101,1.362,1.531,1.528,1.504,1.522,1.154,0.722,0.792,0.702,0.668,0.646,0.639,0.646,0.536,0.155,0.104,0.117,0.108,0.068,0.016,0.05,0.016,0.017,0.084,0.148,0.3,,0.047,,
pre-tax-income,-36.069,-34.391,-35.385,-38.753,-47.244,-34.06,-20.39,-29.21,-43.282,-42.583,-33.443,-30.763,-25.717,-20.408,-19.857,333.938,-23.971,-11.474,-11.036,-11.826,-7.088,-9.866,-8.644,-7.317,-7.234,-7.274,-7.047,,-5.858,,
total-provision-income-taxes,,,,,,,,0.001,,1.703,,-10.657,-6.303,-7.271,-6.817,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-36.069,-34.391,-35.385,-38.753,-47.244,-34.06,-20.39,-29.211,-43.282,-44.286,-33.443,-20.106,-19.414,-13.137,-13.04,296.128,-23.971,-11.474,-11.036,-11.826,-7.088,-9.866,-8.644,-7.317,-7.234,-7.274,-7.047,,-5.858,,
ebitda,-36.463,-35.088,-36.363,-39.756,-48.123,-34.626,-20.38,-28.996,-43.211,-42.173,-32.888,-30.052,-24.912,-19.42,-18.899,334.72,-23.174,-10.66,-10.21,-11.08,-6.275,-9.118,-8.058,-6.768,-6.822,-6.885,-6.82,,-5.905,,
ebit,-37.17,-35.753,-36.916,-40.281,-48.748,-35.582,-21.544,-29.932,-44.074,-43.285,-34.111,-31.409,-26.356,-21.054,-20.393,333.783,-24.075,-11.591,-11.144,-11.894,-7.104,-9.916,-8.66,-7.334,-7.318,-7.422,-7.347,,-5.905,,
basic-shares-outstanding,34.996,34.909,34.794,33.976,34.482,34.401,32.314,27.945,28.02,27.946,27.657,26.955,27.139,26.924,26.351,25.661,25.825,25.69,25.072,20.865,21.521,21.465,18.841,5.523,2.637,1.25,1.229,,1.207,,
shares-outstanding,34.996,34.909,34.794,33.976,34.482,34.401,32.314,27.945,28.02,27.946,27.657,26.955,27.139,26.924,26.351,27.035,25.825,25.69,25.072,20.865,21.521,21.465,18.841,5.523,2.637,1.25,1.229,,1.207,,
eps-basic-net-earnings-per-share,-1.03,-0.99,-1.02,-1.14,-1.37,-0.99,-0.63,-1.05,-1.54,-1.58,-1.21,-0.74,-0.72,-0.49,-0.49,11.55,-0.93,-0.45,-0.44,-0.54,-0.33,-0.46,-0.46,9.06,-2.74,-5.82,-5.73,,-4.85,,
eps-earnings-per-share-diluted,-1.03,-0.99,-1.02,-1.14,-1.37,-0.99,-0.63,-1.05,-1.54,-1.58,-1.21,-0.74,-0.72,-0.49,-0.49,11.05,-0.93,-0.45,-0.44,-0.54,-0.33,-0.46,-0.46,9.06,-2.74,-5.82,-5.73,0.0,-4.85,0.0,0.0
