,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-01-31,2011-01-31
revenue,266.9,244.752,232.323,224.731,209.609,195.547,185.984,177.008,167.795,159.772,156.652,142.779,131.347,119.764,114.27,106.921,98.107,89.923,87.012,83.825,75.664,66.721,62.803,54.979,49.581,42.788,,35.796,,
cost-goods-sold,70.218,65.503,64.526,61.374,59.226,60.155,58.911,53.234,50.4,48.877,46.47,43.925,42.195,41.091,39.744,37.012,33.473,31.985,31.156,30.416,28.136,25.95,24.358,21.392,19.143,17.709,,15.856,,
gross-profit,196.682,179.249,167.797,163.357,150.383,135.392,127.073,123.774,117.395,110.895,110.182,98.854,89.152,78.673,74.526,69.909,64.634,57.938,55.856,53.409,47.528,40.771,38.445,33.587,30.438,25.079,,19.94,,
research-development-expenses,51.146,44.973,42.759,40.001,38.826,37.197,36.993,34.035,32.678,28.311,26.095,25.012,23.563,22.073,20.097,17.667,15.255,12.957,11.742,10.635,9.787,8.992,7.858,6.585,6.357,5.527,,3.605,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,193.044,173.583,169.325,161.637,156.791,151.591,147.48,134.513,129.728,120.909,111.402,108.969,107.525,101.958,99.059,86.821,75.754,68.998,66.329,63.884,58.879,54.164,51.495,44.994,39.743,34.615,,27.012,,
operating-income,73.856,71.169,62.998,63.094,52.818,43.956,38.504,42.495,38.067,38.863,45.25,33.81,23.822,17.806,15.211,20.1,22.353,20.925,20.683,19.941,16.785,12.557,11.308,9.985,9.838,8.173,,8.784,,
total-non-operating-income-expense,7.332,6.161,5.69,4.606,3.342,2.139,3.034,1.359,2.858,0.591,-0.243,0.525,-1.362,2.747,-0.4,0.11,-0.445,0.763,-1.66,-0.989,-0.101,-0.03,-0.365,0.125,-0.065,-0.499,,0.074,,
pre-tax-income,81.188,77.33,68.688,67.7,56.16,46.095,41.538,43.854,40.925,39.454,45.007,34.335,22.46,20.553,14.811,20.21,21.908,21.688,19.023,18.952,16.684,12.527,10.943,10.11,9.773,7.674,,8.858,,
total-provision-income-taxes,1.946,3.881,-2.463,3.615,5.874,1.785,0.884,8.929,2.323,2.458,14.532,12.705,9.502,8.044,-2.779,9.728,8.502,8.706,5.697,8.694,7.106,5.306,4.696,3.585,3.775,2.829,,3.109,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,79.242,73.449,71.151,64.085,50.286,44.31,40.654,34.925,38.602,36.996,30.473,21.63,12.957,12.509,17.568,10.473,13.39,12.982,13.081,10.258,9.578,7.221,-2.777,2.339,5.998,4.845,,5.749,,
ebitda,83.164,80.278,70.222,70.224,60.546,51.892,46.651,50.664,46.111,46.816,63.4,37.76,27.761,21.631,19.424,23.274,24.447,22.712,22.501,21.574,18.197,13.799,12.254,10.857,10.438,8.529,,8.784,,
ebit,73.856,71.169,62.998,63.094,52.818,43.956,38.504,42.495,38.067,38.863,45.25,33.81,23.822,17.806,15.211,20.1,22.353,20.925,20.683,19.941,16.785,12.557,11.308,9.985,9.838,8.173,,8.784,,
basic-shares-outstanding,147.51,146.708,144.244,144.737,143.748,142.777,140.311,140.857,140.01,137.096,135.698,135.624,135.126,133.996,132.02,132.413,131.799,131.163,127.713,129.212,127.314,123.902,51.725,35.802,24.418,21.61,,20.743,,
shares-outstanding,158.675,157.91,156.117,156.025,155.416,154.935,153.681,154.256,153.778,151.056,147.578,147.436,147.155,145.708,144.977,145.063,144.871,144.734,144.204,144.289,143.353,142.849,68.024,131.963,37.038,32.988,,30.369,,
eps-basic-net-earnings-per-share,0.54,0.5,0.49,0.44,0.35,0.31,0.28,0.25,0.28,0.27,0.22,0.16,0.1,0.09,0.13,0.08,0.1,0.1,0.1,0.08,0.07,0.06,0.04,0.07,0.05,0.04,,0.05,,
eps-earnings-per-share-diluted,0.5,0.47,0.45,0.41,0.32,0.29,0.26,0.23,0.25,0.24,0.2,0.15,0.09,0.09,0.13,0.07,0.09,0.09,0.09,0.07,0.07,0.05,0.04,0.05,0.03,0.03,0.0,0.03,0.0,0.0
