,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
eps-earnings-per-share-diluted,-1.31,-1.6,-1.44,-1.78,-1.29,-1.15,-1.05,-1.16,-1.02,-0.94,-0.88,-0.63,-0.88,-0.66,-0.58,-0.77,-0.43,-0.62,-0.42,7.53,-4.2,-3.37,-5.58,0.0,-2.59,0.0,-1.2,0.0
research-development-expenses,53.538,52.251,48.668,62.255,43.355,33.387,28.46,24.771,20.598,18.296,17.541,13.474,18.802,12.991,11.247,16.231,8.113,11.507,5.767,5.048,4.241,3.176,2.981,2.82,1.684,0.0,0.354,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,72.556,75.535,67.891,81.816,60.22,52.623,42.452,35.802,31.66,27.909,26.161,18.754,25.942,19.485,17.061,21.77,12.259,15.108,9.311,10.596,5.949,4.534,7.077,4.78,2.552,,1.286,
operating-income,-72.556,-75.535,-67.891,-81.816,-60.22,-52.623,-42.452,-35.802,-31.66,-27.909,-26.161,-18.754,-25.942,-19.485,-17.061,-21.77,-12.259,-15.108,-9.311,-10.596,-5.949,-4.534,-7.077,-4.78,-2.552,,-1.286,
total-non-operating-income-expense,0.661,1.207,1.634,1.757,1.859,1.743,1.009,0.473,0.564,0.481,0.509,0.519,0.576,0.605,0.503,0.522,0.38,0.163,0.153,0.066,0.03,0.023,0.006,0.005,0.003,,0.002,
pre-tax-income,-71.895,-74.328,-66.257,-80.059,-58.361,-50.88,-41.443,-35.329,-31.096,-27.428,-25.652,-18.235,-25.366,-18.88,-16.558,-21.248,-11.879,-14.945,-9.158,-10.53,-5.919,-4.511,-7.071,-4.78,-2.549,0.0,-1.284,
total-provision-income-taxes,,,,-0.047,,0.003,,-0.016,,,0.002,0.0,0.007,,0.003,0.0,-0.011,,0.002,-0.003,,,-0.022,0.17,-0.013,0.0,0.014,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,
net-income,-71.895,-74.328,-66.257,-80.012,-58.361,-50.883,-41.443,-35.313,-31.096,-27.428,-25.654,-18.235,-25.373,-18.88,-16.561,-21.248,-11.868,-14.945,-9.16,-10.527,-5.919,-4.511,-7.049,-4.95,-2.536,,-1.298,
ebitda,-71.127,-74.157,-66.701,-80.884,-59.613,-52.431,-42.336,-35.399,-31.262,-27.529,-25.654,-18.81,-25.294,-18.413,-15.76,-19.992,-11.415,-14.581,-8.947,-10.317,-5.836,-4.411,-7.06,-4.779,-2.551,0.001,-1.285,
ebit,-72.556,-75.535,-67.891,-81.816,-60.22,-52.623,-42.452,-35.802,-31.66,-27.909,-26.161,-18.754,-25.942,-19.485,-17.061,-21.77,-12.259,-15.108,-9.311,-10.596,-5.949,-4.534,-7.077,-4.78,-2.552,,-1.286,
basic-shares-outstanding,54.92,46.426,46.124,43.811,45.406,44.379,39.596,29.863,30.474,29.247,29.056,28.732,28.801,28.665,28.542,25.583,27.675,24.224,21.918,4.986,1.411,1.337,1.263,,0.978,,1.079,
shares-outstanding,54.92,46.426,46.124,43.811,45.406,44.379,39.596,29.863,30.474,29.247,29.056,28.732,28.801,28.665,28.542,25.583,27.675,24.224,21.918,4.986,1.411,1.337,1.263,,0.978,,1.079,
eps-basic-net-earnings-per-share,-1.31,-1.6,-1.44,-1.78,-1.29,-1.15,-1.05,-1.16,-1.02,-0.94,-0.88,-0.63,-0.88,-0.66,-0.58,-0.77,-0.43,-0.62,-0.42,7.53,-4.2,-3.37,-5.58,,-2.59,,-1.2,
