,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-10-31,2006-09-30,2006-07-31,2006-06-30,2006-04-30,2006-03-31,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
revenue,292.692,289.097,271.549,257.211,242.148,244.395,231.392,235.552,227.607,230.014,229.013,224.939,224.643,218.565,216.388,215.706,208.366,204.289,181.267,185.5519,184.059,179.082,168.876,178.338,175.188,176.52,172.94,159.333,160.453,165.351,162.016,150.318,143.021,147.699,144.083,115.435,140.093,138.951,124.178,135.062,133.404,131.146,128.003,127.457,130.902,126.559,113.897,100.525,110.209,107.027,105.815,-62.2,41.431,40.038,40.336,40.355,39.588,39.65,38.538,,36.178,35.19,34.11
cost-goods-sold,254.383,246.558,243.057,233.347,208.511,210.055,215.634,200.203,198.109,198.611,205.454,192.161,192.752,194.062,196.826,187.941,175.631,175.796,168.921,156.814,153.0,147.808,145.03,148.625,151.77,148.698,149.562,137.8159,133.223,136.554,135.4,125.14,117.747,119.113,115.828,109.495,106.634,106.205,98.639,99.1,101.924,99.716,97.013,97.893,99.552,97.886,88.966,85.416,83.546,79.183,82.405,-42.668,31.641,30.323,30.105,29.995,29.427,29.83,29.169,,26.79,26.137,26.865
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-operating-income-expenses,-0.969,-0.472,-1.602,-4.931,0.291,-0.384,1.21,-0.569,-1.606,-0.63,-0.158,-0.741,-2.122,-0.614,-0.167,-0.54,-0.905,-0.168,0.002,0.203,-1.401,-0.429,-0.727,-1.169,-0.067,-0.309,-0.293,-0.259,-0.021,-0.439,-0.473,5.422,0.015,0.847,-5.435,23.966,-9.073,-8.954,-7.913,-8.211,-8.744,-8.986,-8.017,-9.376,-8.727,-7.054,-6.526,-6.664,-6.605,-7.113,-8.091,0.987,-2.938,-2.002,-2.224,-1.932,-1.376,-1.461,-1.349,,-0.946,-1.583,-0.909
operating-expenses,275.842,267.113,264.279,257.755,225.7,228.525,232.28,217.249,216.768,215.853,222.266,209.971,212.192,210.487,213.405,205.256,191.137,190.905,183.213,170.676,168.824,163.436,161.328,164.6341,166.599,163.535,164.615,152.661,146.613,151.886,150.765,134.673,132.041,132.562,135.184,99.373,128.709,129.035,119.827,121.132,124.261,121.914,118.204,121.194,121.362,119.011,107.961,104.477,101.546,96.875,101.406,-50.969,37.752,36.456,36.4,35.978,34.82,35.295,34.605,,31.979,32.059,32.097
operating-income,16.85,21.984,7.27,-0.544,16.448,15.87,-0.888,18.3029,10.839,14.161,6.747,14.968,12.451,8.078,2.983,10.45,17.229,13.384,-1.946,14.876,15.235,15.646,7.548,13.704,8.589,12.985,8.325,6.672,13.84,13.465,11.251,15.645,10.98,15.137,8.899,16.062,11.384,9.916,4.351,13.93,9.143,9.232,9.799,6.263,9.54,7.548,5.936,-3.952,8.663,10.152,4.409,-11.231,3.679,3.582,3.936,4.377,4.768,4.355,3.933,,4.199,3.131,2.013
total-non-operating-income-expense,-9.938,-11.424,-10.422,29.436,-7.834,-6.898,-7.063,-4.707,-5.878,-5.015,-8.065,-9.003,-9.002,-2.443,-5.596,-7.483,-3.739,-7.629,-5.621,-7.703,-8.392,-9.157,-24.401,-9.612,-9.439,-7.727,-10.939,-9.457,-8.829,-10.145,-12.42,-7.258,-11.736,-12.461,-11.044,-11.455,-13.602,-23.75,-9.967,-11.478,-12.365,-11.983,-13.219,-13.562,-12.047,-12.495,-13.556,-10.27,-11.575,-9.728,-10.837,2.716,-7.75,-6.142,-5.331,-4.945,-7.469,-7.298,-4.41,,-4.236,-3.727,-4.211
pre-tax-income,6.908,10.56,-3.152,28.906,8.6,8.972,-7.951,13.596,4.961,9.146,-1.318,5.965,3.449,5.635,-2.613,2.967,13.49,5.755,-7.567,7.173,6.843,6.489,-16.853,4.092,-0.85,5.258,-2.614,-2.785,5.011,3.32,-1.169,8.387,-0.756,2.676,-2.145,4.607,-2.218,-13.834,-5.616,2.452,-3.222,-2.751,-3.42,-7.299,-2.507,-4.947,-7.62,-14.222,-2.912,0.424,-6.428,-6.515,-2.071,-2.56,-1.395,-0.568,-2.701,-2.943,-0.477,,-0.037,-0.596,-2.198
total-provision-income-taxes,1.816,2.969,-1.23,-2.441,2.827,2.505,-2.497,20.133,1.112,3.523,-0.458,2.221,1.461,2.256,-1.506,1.707,5.199,2.192,-3.091,2.878,2.334,1.233,-4.478,2.744,-0.483,2.497,-1.248,-55.923,0.03,0.421,0.245,0.102,0.234,0.337,0.147,0.053,0.317,-0.128,0.334,0.162,0.231,0.013,0.037,0.0,0.014,0.014,0.123,0.222,0.086,0.013,0.016,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,3.195,4.899,-3.733,29.136,5.039,5.406,-7.338,-7.273,3.226,5.31,-1.21,3.361,1.644,3.622,-1.397,0.881,7.987,3.395,-4.554,4.205,4.451,5.144,-12.424,1.243,-0.467,2.686,-1.342,51.946,5.053,2.946,-0.111,4.547,0.039,3.521,-0.876,3.3,-0.285,-11.756,-4.111,0.637,-1.726,-0.336,-0.842,-5.35,0.138,-2.149,-5.475,-11.697,-2.093,1.223,-5.564,-8.543,-4.454,-2.477,-1.395,-0.568,-2.701,-2.943,-0.477,,-0.037,-0.596,-2.198
ebitda,55.433,60.05,43.865,19.907,34.903,34.931,17.942,35.7539,28.765,31.595,24.215,32.838,31.275,25.259,20.763,28.594,33.199,28.743,14.561,29.576,31.179,34.078,23.462,26.889,25.636,30.158,24.375,23.095,28.728,31.765,27.543,32.088,26.984,31.724,24.037,30.965,26.1,25.716,18.655,37.028,22.976,22.995,22.796,21.336,23.563,25.322,18.695,8.185,19.886,21.731,15.788,-6.925,7.985,7.713,3.936,8.428,4.768,8.359,3.933,,4.199,3.131,2.013
ebit,16.85,21.984,7.27,-0.544,16.448,15.87,-0.888,18.3029,10.839,14.161,6.747,14.968,12.451,8.078,2.983,10.45,17.229,13.384,-1.946,14.876,15.235,15.646,7.548,13.704,8.589,12.985,8.325,6.672,13.84,13.465,11.251,15.645,10.98,15.137,8.899,16.062,11.384,9.916,4.351,13.93,9.143,9.232,9.799,6.263,9.54,7.548,5.936,-3.952,8.663,10.152,4.409,-10.886,4.024,3.582,3.936,4.377,4.768,4.355,3.933,,4.199,3.131,2.013
basic-shares-outstanding,49.807,49.703,49.554,48.114,48.011,47.969,47.823,46.881,46.954,46.756,46.56,46.244,45.8686,46.5589,46.581,43.806,43.637,43.37,42.747,41.07,41.645,40.817,40.01,39.14,39.236,39.217,39.314,37.751,38.3405,37.7613,37.67,37.368,37.4265,37.358,37.258,36.853,36.9797,36.917,36.364,36.047,36.105,35.924,35.916,35.721,35.7598,35.672,35.561,34.593,34.749,34.637,34.387,30.972,21.014,21.238,21.0195,21.212,20.771,20.703,20.7035,,20.604,20.5535,20.5535
shares-outstanding,50.36,50.145,49.554,48.679,48.615,48.526,47.823,47.402,47.578,47.196,46.56,46.655,46.334,46.8824,46.581,45.171,44.752,44.6856,42.747,43.149,44.034,43.263,40.01,39.815,39.236,39.83,39.314,39.245,39.8607,39.4307,37.67,38.786,38.47,39.82,37.258,36.853,36.9797,36.917,36.364,36.047,36.105,35.924,35.916,35.721,37.0148,35.672,35.561,34.593,34.749,36.989,34.387,30.972,21.014,21.238,21.0195,21.212,20.771,20.703,20.7035,,20.604,20.5535,20.5535
eps-basic-net-earnings-per-share,0.06,0.1,-0.08,0.61,0.1,0.11,-0.15,-0.1489,0.07,0.11,-0.03,0.07,0.04,0.08,-0.03,0.03,0.18,0.08,-0.11,0.1,0.11,0.13,-0.31,0.02,-0.01,0.07,-0.03,1.37,0.13,0.08,0.0,0.12,0.0,0.09,-0.02,0.09,-0.01,-0.32,-0.11,0.02,-0.05,-0.01,-0.02,-0.15,0.0,-0.06,-0.15,-0.34,-0.06,0.04,-0.16,-0.24,-0.22,-0.12,-0.06,-0.03,-0.14,-0.14,-0.02,,-0.0018,-0.04,-0.1
eps-earnings-per-share-diluted,0.06,0.1,-0.08,0.6,0.1,0.11,-0.15,-0.1489,0.07,0.11,-0.03,0.06,0.04,0.08,-0.03,0.02,0.18,0.08,-0.11,0.12,0.1,0.12,-0.31,0.02,-0.01,0.07,-0.03,1.32,0.13,0.07,0.0,0.12,0.0,0.09,-0.02,0.09,-0.01,-0.32,-0.11,0.02,-0.05,-0.01,-0.02,-0.15,0.0,-0.06,-0.15,-0.33,-0.06,0.03,-0.16,-0.12,-0.1,-0.12,-0.06,-0.03,-0.14,-0.14,-0.02,0.0,-0.0018,-0.04,-0.1
