,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
revenue,22.854,21.684,20.778,16.397,16.286,13.709,14.816,11.811,7.324,8.627,6.919,
cost-goods-sold,8.616,8.672,9.526,6.524,6.173,5.492,6.901,5.249,3.72,4.502,3.509,
gross-profit,14.238,13.012,11.252,9.873,10.113,8.217,7.915,6.562,3.604,4.125,3.41,
research-development-expenses,3.776,4.001,3.584,3.661,3.174,3.705,2.147,2.45,1.436,1.48,1.5,
selling-general-administrative-expenses,,,,,,,,,,,,
operating-expenses,31.619,31.067,29.166,25.018,22.332,20.026,17.696,16.41,13.295,14.108,10.858,
operating-income,-8.765,-9.383,-8.388,-8.621,-6.046,-6.317,-2.88,-4.599,-5.971,-5.481,-3.939,
total-non-operating-income-expense,-3.702,0.378,-2.347,-1.741,7.253,1.109,-3.64,-2.459,-4.672,-6.609,-1.052,
pre-tax-income,-12.467,-9.005,-10.735,-10.362,1.207,-5.208,-6.52,-7.072,-10.643,-12.091,-4.994,
total-provision-income-taxes,0.308,0.035,0.044,0.152,-0.099,0.152,0.01,0.065,0.031,0.0,0.005,
income-after-taxes,,,,,,,,0.0,,0.0,0.0,
income-from-continuous-operations,,,,,,,,0.0,,0.0,0.0,
net-income,-12.775,-9.04,-10.779,-10.514,1.306,-5.36,-6.53,-7.137,-10.674,-12.091,-4.999,
ebitda,-7.971,-8.6,-7.755,-7.852,-5.35,-5.609,-2.243,-4.01,-5.42,-4.931,-3.689,
ebit,-8.765,-9.383,-8.388,-8.621,-6.046,-6.317,-2.88,-4.599,-5.971,-5.481,-3.939,
basic-shares-outstanding,20.6208,20.449,20.496,17.351,19.153,15.352,14.662,,8.8248,,,
shares-outstanding,20.6208,20.449,20.496,17.351,20.1233,15.352,14.662,,8.8248,,,
eps-basic-net-earnings-per-share,-0.62,-0.44,-0.53,-0.49,0.07,-0.35,-0.45,,-1.21,,,
eps-earnings-per-share-diluted,-0.62,-0.44,-0.53,-0.48,0.06,-0.35,-0.45,0.0,-1.21,0.0,0.0,0.0
