,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-09-30
revenue,41.147,56.702,49.785,56.053,51.337,59.296,46.626,46.785,63.021,50.108,76.793,81.14,37.833,40.918,29.591,18.18,5.736,6.002,36.309,5.6,2.811,5.792,5.005,5.492,4.64,5.075,2.4808,
cost-goods-sold,14.922,21.284,13.1,18.558,12.991,18.559,11.808,13.707,11.665,13.82,17.994,18.819,10.425,11.473,14.589,2.598,3.753,3.348,5.948,4.489,2.175,1.556,3.36,4.624,,2.925,1.3131,
gross-profit,26.225,35.418,36.685,37.495,38.346,40.737,34.818,33.078,51.356,36.288,58.799,62.321,27.408,29.445,15.002,15.582,1.983,2.654,30.361,1.111,0.636,4.236,1.645,0.868,4.64,2.15,1.1677,
research-development-expenses,10.172,8.957,6.375,5.859,5.975,15.265,17.32,9.444,8.954,6.684,7.525,15.762,3.207,3.799,5.521,8.781,6.911,5.878,6.285,3.986,5.888,4.545,3.794,2.589,,1.6323,2.525,
selling-general-administrative-expenses,18.537,17.228,18.141,15.451,13.878,15.987,15.193,12.889,16.669,23.28,18.578,17.55,11.661,11.99,12.128,5.608,5.46,5.111,3.986,3.69,3.854,2.673,1.454,1.344,,1.2511,2.9488,
other-operating-income-expenses,,,,-0.027,,-1.914,,-0.303,-0.783,-0.422,,-0.725,-0.232,,1.75,,,,,,,,,,,1.9931,,
operating-expenses,43.631,47.469,37.616,40.327,32.935,59.113,44.321,36.343,38.071,44.206,44.097,52.856,25.525,27.262,30.488,16.987,16.124,14.337,16.219,12.165,11.917,8.774,8.608,8.557,,3.8153,6.7869,
operating-income,-2.484,9.233,12.169,15.726,18.402,0.183,2.305,10.442,24.95,5.902,32.696,28.284,12.308,13.656,-0.897,1.193,-10.388,-8.335,20.09,-6.565,-9.106,-2.982,-3.603,-3.065,4.64,1.2598,-4.3061,
total-non-operating-income-expense,-0.058,-0.028,-0.192,-0.496,-0.734,-0.7,-0.648,-0.503,-0.492,-0.026,-0.024,0.006,0.023,0.027,0.02,0.0,0.003,0.005,0.006,,0.002,0.048,-0.376,-0.19,,-0.5052,-0.4978,
pre-tax-income,-2.542,9.205,11.977,15.23,17.668,-0.517,1.657,9.939,24.458,5.876,32.672,28.29,12.331,13.683,-0.877,1.193,-10.385,-8.33,20.096,-6.565,-9.104,-2.934,-3.979,-3.255,4.64,0.7546,-4.8039,
total-provision-income-taxes,-0.152,2.48,3.004,2.642,3.628,-3.176,-0.959,0.854,9.027,1.373,9.748,-29.008,0.379,0.584,0.019,-0.025,-0.218,-0.153,0.399,-1.059,,,-1.295,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
net-income,-2.39,6.725,8.973,12.588,14.04,2.659,2.616,9.085,15.431,4.503,22.924,57.298,11.952,13.099,-0.896,1.218,-10.167,-8.177,19.697,-5.506,-9.104,-2.934,-3.218,-4.387,0.483,-0.3201,-5.6147,
ebitda,-1.286,10.459,13.396,16.656,19.331,1.265,3.41,11.491,25.949,6.915,33.604,28.951,12.674,13.968,-0.653,1.274,-10.379,-8.325,20.102,-6.625,-9.084,-2.96,-3.574,-4.354,4.6674,1.7615,-3.5152,
ebit,-2.484,9.233,12.169,15.726,18.402,0.183,2.305,10.442,24.95,5.902,32.696,28.284,12.308,13.656,-0.897,1.193,-10.388,-8.335,20.09,-6.565,-9.106,-2.982,-3.603,-3.065,4.64,1.2598,-4.3061,
basic-shares-outstanding,13.668,13.782,13.925,14.769,15.011,14.879,14.82,15.103,15.048,15.22,15.258,15.534,15.571,15.636,15.636,15.25,15.59,15.547,14.247,14.033,14.022,14.02,8.862,3.048,3.048,3.048,3.048,
shares-outstanding,13.668,14.157,14.418,15.279,15.483,15.447,15.478,15.908,15.764,16.101,16.165,16.434,16.45,16.466,15.636,16.254,15.59,15.547,15.041,14.033,14.022,14.02,8.862,3.048,3.048,3.048,3.048,
eps-basic-net-earnings-per-share,-0.17,0.49,0.64,0.86,0.94,0.18,0.18,0.61,1.03,0.3,1.5,3.69,0.77,0.84,-0.06,-0.03,-0.65,-0.53,1.38,-0.39,-0.65,-0.21,-0.36,-1.44,-0.21,-0.11,-1.84,
eps-earnings-per-share-diluted,-0.17,0.48,0.62,0.84,0.91,0.17,0.17,0.59,0.98,0.28,1.42,3.49,0.73,0.8,-0.06,0.03,-0.65,-0.53,1.31,-0.39,-0.65,-0.21,-0.36,-1.44,-0.21,-0.11,-1.84,0.0
