,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31
revenue,19.364,22.197,25.307,21.271,18.428,11.565,37.836,14.873,13.994,4.595,4.581,,5.616,5.193,
cost-goods-sold,17.071,16.942,19.902,14.271,11.965,9.443,11.326,10.064,8.082,4.137,2.839,,5.416,4.834,
gross-profit,2.293,5.255,5.405,7.0,6.463,2.122,26.51,4.809,5.912,0.458,1.742,,0.2,0.359,
research-development-expenses,19.588,18.507,24.475,20.828,51.202,26.572,21.303,20.848,11.944,17.597,26.408,,18.052,8.645,
selling-general-administrative-expenses,,,,,,,,,,,,,,,
operating-expenses,52.942,52.618,59.565,46.717,74.66,48.832,45.709,43.229,30.39,35.366,39.046,,30.258,18.046,
operating-income,-33.578,-30.421,-34.258,-25.446,-56.232,-37.267,-7.873,-28.356,-16.396,-30.771,-34.465,,-24.642,-12.853,
total-non-operating-income-expense,-1.095,-1.279,-1.472,-1.33,-1.058,0.368,0.227,0.098,-6.901,-7.868,-6.652,,-0.005,-0.049,
pre-tax-income,-34.673,-31.7,-35.73,-26.776,-57.29,-36.899,-7.646,-28.258,-23.297,-38.639,-41.117,,-24.647,-12.902,
total-provision-income-taxes,0.114,0.405,0.5,0.386,-0.03,0.051,-0.307,0.137,0.011,0.029,-0.092,,0.009,-0.403,
income-after-taxes,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,
net-income,-34.758,-32.031,-35.233,-27.113,-46.17,-36.859,-7.298,-28.283,-23.274,-38.625,-40.988,,-24.622,-12.421,
ebitda,-32.32,-29.237,-33.122,-24.343,-55.217,-36.47,-7.005,-27.268,-15.166,-28.067,-32.465,,-24.064,-12.853,
ebit,-33.578,-30.421,-34.258,-25.446,-56.232,-37.267,-7.873,-28.356,-16.396,-30.771,-34.465,,-24.642,-12.853,
basic-shares-outstanding,77.298,73.114,67.011,64.59,66.399,63.31,61.655,49.961,57.135,43.741,40.693,,40.262,39.775,
shares-outstanding,77.298,73.114,67.011,64.59,66.399,63.31,61.655,49.961,57.135,43.741,40.693,,40.262,39.775,
eps-basic-net-earnings-per-share,-0.45,-0.44,-0.53,-0.42,-0.7,-0.58,-0.12,-0.33,-0.41,-0.88,-1.01,,-0.61,-0.31,
eps-earnings-per-share-diluted,-0.45,-0.44,-0.53,-0.42,-0.7,-0.58,-0.12,-0.33,-0.41,-0.88,-1.01,0.0,-0.61,-0.31,0.0
