,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30
revenue,29.1,29.483,28.479,28.389,24.165,27.02,25.994,26.153,24.822,25.753,24.139,23.288,23.216,22.389,20.258,20.483,19.025,19.897,18.947,18.681,17.501,18.161,16.754,17.916,15.3,15.951,15.382,14.801,13.645,14.361,13.928,13.411,14.564,15.112,14.598,14.431,13.656,14.158,13.815,13.584,13.346,12.63,11.348,12.111,12.023,12.739,11.847,11.104,10.144,10.315,9.883,,8.76
cost-goods-sold,8.934,9.168,9.015,9.171,6.91,8.028,7.52,7.901,7.245,8.238,6.786,7.094,6.197,7.022,5.902,6.08,5.509,6.767,5.83,5.853,5.498,5.785,5.53,5.96,4.584,4.714,4.176,4.363,3.63,3.816,4.058,3.888,4.381,4.742,4.447,4.084,3.258,3.502,3.497,3.411,3.603,3.508,3.082,3.686,3.92,3.853,3.358,2.96,2.563,2.7,2.51,,
gross-profit,20.166,20.315,19.464,19.218,17.255,18.992,18.474,18.252,17.577,17.515,17.353,16.194,17.019,15.367,14.356,14.403,13.516,13.13,13.117,12.828,12.003,12.376,11.224,11.956,10.716,11.237,11.206,10.438,10.015,10.545,9.87,9.523,10.183,10.37,10.151,10.347,10.398,10.656,10.318,10.173,9.743,9.122,8.266,8.425,8.103,8.886,8.489,8.144,7.581,7.615,7.373,,8.76
research-development-expenses,2.281,2.256,2.24,2.347,2.037,1.988,1.825,1.583,1.761,1.634,1.658,1.522,1.539,1.634,1.446,1.575,1.421,1.331,1.152,1.081,1.109,1.137,1.344,1.402,1.3,1.268,1.273,1.561,1.261,1.135,1.135,1.139,0.974,1.04,1.272,1.475,1.135,1.338,1.54,1.716,1.448,1.435,1.311,1.301,1.203,1.474,1.35,1.19,1.144,1.11,1.15,,
selling-general-administrative-expenses,11.98,12.144,12.789,11.276,10.605,11.339,11.787,10.347,10.763,10.346,11.502,10.763,10.136,9.95,9.61,9.549,8.944,8.822,9.475,8.743,8.856,8.833,9.544,9.21,8.487,8.372,8.65,8.197,7.803,7.903,7.881,7.44,7.559,7.783,7.821,7.934,7.231,7.242,7.508,7.228,7.002,6.661,6.671,6.681,6.537,7.886,8.657,7.93,6.924,6.94,7.18,,
other-operating-income-expenses,,,,1.598,,5.876,,,,,,,,,,-0.19,0.17,-0.183,-0.181,-0.239,-0.178,-0.337,-0.164,-0.172,-0.153,-0.15,-0.16,0.25,0.05,-0.052,,0.0,0.735,,-0.083,-0.417,,-0.068,,,,-0.033,-0.073,-0.084,-0.03,-0.048,-0.435,,,,,,
operating-expenses,23.195,23.568,24.044,21.196,19.552,15.479,21.132,19.831,19.769,20.218,19.946,19.379,17.872,18.606,16.958,17.394,15.704,17.103,16.638,15.942,15.649,16.181,16.985,16.744,14.524,14.504,14.259,13.871,12.644,12.906,13.074,12.579,12.573,14.215,14.628,15.726,11.624,12.15,12.545,12.355,12.053,11.637,12.914,11.756,11.853,13.608,14.433,12.08,11.685,10.75,10.84,,
operating-income,5.905,5.915,4.435,7.193,4.613,11.541,4.862,6.322,5.053,5.535,4.193,3.909,5.344,3.783,3.3,3.089,3.321,2.794,2.309,2.739,1.852,1.98,-0.231,1.172,0.776,1.447,1.123,0.93,1.001,1.455,0.854,0.832,1.991,0.897,-0.03,-1.295,2.032,2.008,1.27,1.229,1.293,0.993,-1.566,0.355,0.17,-0.869,-2.586,-0.976,-1.541,-0.435,-0.957,,8.76
total-non-operating-income-expense,-0.015,0.173,0.078,0.058,0.117,0.006,0.054,0.007,0.02,-0.07,0.046,-0.075,-0.037,0.053,-0.035,0.046,-0.182,0.03,0.017,-0.045,0.047,0.02,-0.042,-0.074,0.009,-0.072,-0.053,-0.075,0.054,-0.035,-0.191,-0.048,-0.045,0.007,0.148,-0.007,0.033,-0.045,0.029,0.083,0.17,0.121,-0.108,-0.092,-0.229,0.118,0.312,-0.101,0.58,0.37,0.36,,
pre-tax-income,5.89,6.088,4.513,7.251,4.73,11.547,4.916,6.329,5.073,5.465,4.239,3.834,5.307,3.836,3.265,3.135,3.139,2.824,2.326,2.694,1.899,2.0,-0.273,1.098,0.785,1.375,1.07,0.855,1.055,1.42,0.663,0.784,1.946,0.904,0.118,-1.302,2.065,1.963,1.299,1.312,1.463,1.114,-1.674,0.263,-0.059,-0.751,-2.274,-1.07,-0.961,-0.07,-0.6,,8.76
total-provision-income-taxes,0.706,1.464,1.0,1.226,0.416,2.796,1.063,2.045,0.031,0.833,1.02,1.237,2.078,1.238,1.099,0.605,1.047,1.057,0.957,0.778,0.965,0.728,-0.066,0.352,0.064,0.486,0.224,0.157,0.392,0.596,0.277,0.438,0.732,0.385,0.054,-3.266,0.548,0.452,0.278,0.043,0.178,0.189,0.207,-0.049,0.077,0.175,0.29,0.12,0.393,-0.3,0.02,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,0.0
net-income,5.184,4.624,3.513,6.025,4.314,8.751,3.853,4.284,5.042,4.632,3.219,2.597,3.229,2.598,2.166,2.53,2.092,1.767,1.369,1.916,0.934,1.272,-0.207,0.746,0.721,0.889,0.846,0.698,0.663,0.824,0.386,0.346,1.214,0.519,0.064,1.964,1.517,1.511,1.021,1.269,1.285,0.925,-1.881,0.312,-0.136,-0.926,-2.564,-1.178,-1.354,0.227,-0.629,,-1.089
ebitda,7.25,7.261,5.719,8.409,5.619,12.607,5.898,7.411,6.057,6.518,5.172,4.842,6.19,4.714,4.181,3.986,4.146,3.634,3.141,3.651,2.654,2.769,0.6,1.991,1.499,2.088,1.733,1.531,1.529,2.012,1.402,1.403,2.507,1.386,0.431,-0.927,2.346,2.355,1.617,1.607,1.662,1.382,-1.237,0.663,0.503,-0.391,-2.211,-0.387,-1.42,-0.075,-0.637,,8.76
