,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30
revenue,169.803,149.692,139.254,139.669,137.716,131.258,109.476,112.237,108.592,103.559,101.606,103.898,103.502,100.927,92.602,84.76,84.331,85.809,81.915,82.636,81.658,76.965,71.683,69.882,67.306,65.755,62.998,63.775,61.211,60.44,58.889,25.627,69.384,68.252,66.842,28.487,69.842,67.165,64.605,65.697,66.803,64.966,61.839,,62.709
cost-goods-sold,123.817,109.222,101.68,101.859,100.926,95.515,81.543,81.243,79.539,75.048,74.289,74.999,76.079,75.232,68.283,62.567,60.809,62.127,59.989,59.989,59.818,56.385,53.015,51.78,50.08,49.142,47.2,46.238,45.528,44.633,43.865,24.329,48.373,48.142,47.788,27.452,49.71,47.429,45.785,46.105,47.148,45.739,43.701,,44.844
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,35.95,30.222,29.257,28.726,28.267,26.495,21.537,19.664,19.359,19.006,18.873,15.609,21.299,17.744,22.188,13.526,18.041,17.423,17.153,16.259,15.773,15.399,14.403,14.092,12.424,12.092,11.51,11.652,11.181,11.959,11.57,-3.709,16.955,16.493,16.119,0.07,16.277,15.513,15.182,17.566,14.375,14.191,13.792,,13.346
other-operating-income-expenses,,,,,,,,-1.799,-2.106,-2.07,0.033,-3.652,-1.908,-1.813,0.0,,,,,,,,,,,,,,,,0.495,,,,,,,,,,,,,,
operating-expenses,162.523,141.979,133.011,132.86,131.728,124.345,104.887,104.558,102.785,97.638,94.645,95.964,101.007,96.533,91.949,81.745,80.047,80.711,78.288,77.394,76.697,72.867,67.913,66.406,63.043,61.775,59.256,58.514,57.344,57.223,55.571,4.546,82.244,65.562,64.836,27.975,67.045,63.893,61.913,64.906,62.757,61.154,58.713,,59.794
operating-income,7.28,7.713,6.243,6.809,5.988,6.913,4.589,7.679,5.807,5.921,6.961,7.934,2.495,4.394,0.653,3.015,4.284,5.098,3.627,5.242,4.961,4.098,3.77,3.476,4.263,3.98,3.742,5.261,3.867,3.217,3.318,21.081,-12.86,2.69,2.006,0.512,2.797,3.272,2.692,0.791,4.046,3.812,3.126,,2.915
total-non-operating-income-expense,-0.08,-0.585,-0.403,-1.056,-1.43,-1.35,1.412,-0.775,-0.776,-2.051,-0.587,2.288,-0.506,-0.663,-0.433,-0.234,-0.163,-0.169,-0.173,-0.191,-0.18,-0.151,-0.158,-0.16,0.024,-0.142,-0.208,-0.331,-0.407,-0.426,-0.404,1.668,-0.548,-0.668,-0.713,-0.681,-0.855,-0.75,-0.718,-3.584,-1.021,-1.05,-1.118,,-1.256
pre-tax-income,7.2,7.128,5.84,5.753,4.558,5.563,6.001,6.904,5.031,3.87,6.374,10.208,1.989,3.731,0.234,2.781,4.121,4.929,3.454,5.047,4.781,3.947,3.616,3.316,4.287,3.838,3.534,4.93,3.46,2.791,2.914,22.749,-13.408,2.022,1.293,-0.169,1.942,2.522,1.974,-2.793,3.025,2.762,2.008,,1.659
total-provision-income-taxes,1.759,1.61,0.978,1.211,0.927,1.245,1.115,3.737,1.623,1.17,2.115,2.601,0.29,1.131,0.077,-0.27,1.234,1.676,1.292,1.404,1.544,1.218,1.262,0.192,1.517,1.256,0.847,1.427,1.256,0.956,1.168,9.86,-6.745,0.689,0.44,-0.045,0.463,0.868,0.616,-1.009,0.935,0.831,0.643,,0.348
