,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,2.5898,29.0946,1.8857,1.9273,1.0909,0.8536,0.9504,0.0,0.7963,0.3502,1.2937,0.3757,0.7426,0.3966,0.3966,0.3643,0.1705,0.1136,,,,,,,,,,
research-development-expenses,22.152,22.1814,21.7837,15.7809,12.8078,10.2599,9.7654,8.2867,5.6225,5.7637,6.3661,5.3802,4.3156,3.567,2.1739,1.8232,1.6348,1.7073,0.7234,0.5716,0.4526,0.1694,0.0619,0.01,0.029,0.1784,0.0185,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,27.6865,27.3894,28.4085,19.5183,15.9889,13.2474,12.8154,10.8619,7.7531,7.6418,8.7462,7.9481,6.0763,4.5882,3.2838,2.8651,2.4254,2.6763,1.5353,1.259,0.8182,0.4643,0.1056,0.31,0.0453,0.1961,0.0396,
operating-income,-25.0967,1.7052,-26.5228,-17.591,-14.898,-12.3938,-11.865,-10.8619,-6.9568,-7.2916,-7.4525,-7.5724,-5.3338,-4.1916,-2.8872,-2.5008,-2.2549,-2.5627,-1.5353,-1.259,-0.8182,-0.4643,-0.1056,-0.31,-0.0453,-0.1961,-0.0396,
total-non-operating-income-expense,4.3059,0.4474,0.288,0.2848,0.2968,0.3244,0.1696,0.1682,-0.0088,-0.0053,-0.0129,0.0022,-0.013,0.0022,-0.005,0.0022,0.001,0.0002,-0.0004,-0.0012,0.1586,-0.0403,-0.0103,-0.0112,-0.0142,-0.0133,-0.004,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
net-income,-20.7908,2.1527,-26.2348,-17.3062,-14.6012,-12.0694,-11.6954,-10.6937,-6.9656,-7.2969,-7.4654,-7.5703,-5.3468,-4.1894,-2.8922,-2.4986,-2.2539,-2.5625,-1.5357,-1.2603,-0.6596,-0.5046,-0.116,-0.31,-0.0596,-0.2094,-0.0435,
ebitda,-24.8133,2.0047,-26.281,-17.4357,-14.7657,-12.6032,-11.4492,-10.7974,-6.8301,-7.2586,-7.4211,-7.5425,-5.3133,-4.1717,-2.8699,-2.4831,-2.2402,-2.5565,-1.5299,-1.2537,-0.8133,-0.4643,-0.1056,-0.31,-0.0453,-0.1961,-0.0396,
ebit,-25.0967,1.7052,-26.5228,-17.591,-14.898,-12.3938,-11.865,-10.8619,-6.9568,-7.2916,-7.4525,-7.5724,-5.3338,-4.1916,-2.8872,-2.5008,-2.2549,-2.5627,-1.5353,-1.259,-0.8182,-0.4643,-0.1056,-0.31,-0.0453,-0.1961,-0.0396,
basic-shares-outstanding,64.66,64.547,61.676,56.1,57.219,57.158,56.368,50.177,50.222,50.194,46.381,41.138,43.784,38.748,37.605,31.35,34.771,26.901,25.872,20.16,25.543,22.071,6.965,6.965,6.965,6.965,4.562,
shares-outstanding,64.66,68.512,61.676,56.1,57.219,57.158,56.368,50.177,50.222,50.194,46.381,41.138,43.784,38.748,37.605,31.35,34.771,26.901,25.872,20.16,25.543,22.071,6.965,6.965,6.965,6.965,4.562,
eps-basic-net-earnings-per-share,-0.32,0.03,-0.43,-0.3,-0.26,-0.21,-0.21,-0.2,-0.14,-0.15,-0.16,-0.18,-0.12,-0.11,-0.08,-0.06,-0.06,-0.1,-0.06,-0.06,-0.03,-0.02,-0.02,-0.04,-0.01,-0.03,-0.01,
eps-earnings-per-share-diluted,-0.32,0.03,-0.43,-0.3,-0.26,-0.21,-0.21,-0.2,-0.14,-0.15,-0.16,-0.18,-0.12,-0.11,-0.08,-0.06,-0.06,-0.1,-0.06,-0.06,-0.03,-0.02,-0.02,-0.04,-0.01,-0.03,-0.01,0.0
