,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31
revenue,85.776,85.705,86.51,86.271,88.9,85.573,82.63,81.241,79.941,88.837,81.359,74.35,73.063,77.966,76.474,71.201,74.123,73.314,74.823,,75.682,75.613,,
cost-goods-sold,44.187,41.132,42.426,42.426,44.015,41.727,40.321,43.342,41.414,42.89,41.597,39.703,39.382,42.215,42.773,37.82,40.418,40.647,39.054,,44.044,44.554,,
gross-profit,41.589,44.573,44.084,43.845,44.885,43.846,42.309,37.899,38.527,45.947,39.762,34.647,33.681,35.751,33.701,33.381,33.705,32.667,35.769,,31.638,31.059,,
research-development-expenses,4.86,5.795,4.929,4.551,4.316,4.215,3.989,3.976,3.554,5.244,5.351,3.71,2.849,2.608,3.036,3.066,2.458,2.638,6.196,,3.049,2.687,,
selling-general-administrative-expenses,28.212,24.241,22.986,22.351,24.087,23.705,23.183,24.716,22.151,22.806,22.484,18.676,18.797,19.081,18.82,17.927,17.839,24.673,18.195,,19.368,18.392,,
other-operating-income-expenses,,,,,,,,,,,,-0.12,0.56,0.117,5.828,,,,,,,,,
operating-expenses,77.259,71.168,70.341,69.328,72.418,69.647,67.493,72.034,67.119,70.94,69.432,62.209,60.468,63.787,58.801,58.813,60.715,67.958,63.445,,66.461,65.633,,
operating-income,8.517,14.537,16.169,16.943,16.482,15.926,15.137,9.207,12.822,17.897,11.927,12.141,12.595,14.179,17.673,12.388,13.408,5.356,11.378,,9.221,9.98,,
total-non-operating-income-expense,-3.16,-6.427,-3.405,-4.201,-3.647,-3.962,-3.13,2.057,-3.534,-3.733,-7.004,-6.397,-8.355,-6.582,-6.96,-7.415,-7.283,-28.604,-11.006,,-10.144,-10.742,,
pre-tax-income,5.357,8.11,12.764,12.742,12.835,11.964,12.007,11.264,9.288,14.164,4.923,5.744,4.24,7.597,10.713,4.973,6.125,-23.248,0.372,,-0.923,-0.762,,
total-provision-income-taxes,0.501,1.698,2.815,-0.551,3.566,2.219,3.796,-85.862,0.762,0.569,0.785,0.875,0.02,0.247,0.39,1.057,0.739,1.175,-0.003,,-0.056,0.874,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,
net-income,4.856,6.412,9.949,13.293,9.269,9.745,8.211,97.126,8.526,13.595,4.138,4.869,4.22,7.35,10.323,3.916,5.386,-24.423,0.375,,-0.867,-1.636,,
ebitda,11.95,18.11,19.812,20.648,20.257,19.738,19.053,13.749,16.905,23.344,18.447,18.108,17.136,19.424,21.786,18.058,17.483,9.809,19.498,,16.474,9.98,,
ebit,8.517,14.537,16.169,16.943,16.482,15.926,15.137,9.207,12.822,17.897,11.927,12.141,12.595,14.179,17.673,12.388,13.408,5.356,11.378,,9.221,9.98,,
basic-shares-outstanding,39.123,38.972,38.603,38.233,38.342,38.233,37.886,37.276,37.393,37.235,36.889,32.044,31.221,30.378,30.368,24.44,30.36,18.898,18.081,,18.081,18.081,,
shares-outstanding,40.286,40.239,39.787,39.501,39.402,39.398,39.493,38.892,39.121,38.9,38.601,32.656,32.402,30.543,30.373,24.44,30.762,18.898,18.404,,18.081,18.081,,
eps-basic-net-earnings-per-share,0.12,0.16,0.26,0.35,0.24,0.25,0.22,2.6,0.23,0.37,0.11,0.12,0.14,0.24,0.34,0.49,0.18,-1.29,0.02,,-0.05,-0.09,,
eps-earnings-per-share-diluted,0.12,0.16,0.25,0.33,0.24,0.25,0.21,2.49,0.22,0.35,0.11,0.11,0.13,0.24,0.34,0.49,0.18,-1.29,0.02,0.0,-0.05,-0.09,0.0,0.0
