,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,,,,,,,,,,,,,,,,31.591,33.82,0.711,,,,,,,,,,0.118,,,2.489,0.062,0.064,0.056,0.065,2.005,0.17,0.187,0.074,0.06,-0.054,-0.007,-0.293,-1.284,0.025,0.398,0.627,0.393,0.9,1.195,1.55,-2.222,1.196,2.167,2.151,
research-development-expenses,14.993,15.932,14.817,12.204,12.842,11.023,14.049,14.239,15.62,18.253,15.495,12.71,16.701,14.154,13.278,9.642,11.983,19.772,15.156,16.426,12.07,12.177,12.842,10.107,11.342,16.568,8.719,8.437,12.641,8.979,8.942,9.937,8.615,8.896,7.993,6.098,5.657,4.814,3.96,4.84,4.443,4.399,4.737,5.643,5.016,5.483,4.998,5.22,5.854,7.719,8.367,6.4,5.3,4.854,6.187,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,21.054,21.041,20.629,18.174,17.364,18.561,21.815,24.354,20.463,23.616,21.143,20.289,21.549,19.309,18.718,15.092,16.839,29.899,19.399,21.661,15.764,15.766,16.235,13.495,14.076,20.113,11.793,11.372,15.288,11.559,11.681,12.509,10.537,11.332,10.216,8.256,7.347,6.504,5.627,6.675,6.234,5.997,6.34,7.278,6.63,7.091,6.687,6.818,7.461,9.442,9.915,7.927,6.323,5.95,7.406,
operating-income,-21.054,-21.041,-20.629,-18.174,-17.364,-18.561,-21.815,-24.354,-20.463,-23.616,-21.143,-20.289,-21.549,-19.309,-18.718,16.499,16.981,-29.188,-19.399,-21.661,-15.764,-15.766,-16.235,-13.495,-14.076,-20.113,-11.793,-11.254,-15.288,-11.559,-9.192,-12.447,-10.473,-11.276,-10.151,-6.251,-7.177,-6.317,-5.553,-6.615,-6.288,-6.004,-6.633,-8.562,-6.605,-6.693,-6.06,-6.425,-6.561,-8.247,-8.365,-10.149,-5.127,-3.783,-5.255,
total-non-operating-income-expense,1.471,1.615,1.67,1.573,1.48,1.362,1.227,1.151,1.125,1.073,0.991,0.86,0.819,0.816,0.664,0.453,9.278,0.21,0.136,0.065,0.097,0.109,0.147,0.145,0.157,0.173,0.055,0.05,0.033,0.032,0.051,0.062,0.035,0.026,0.018,0.008,-0.04,-0.067,-0.084,-0.111,-0.103,-0.087,-0.091,-0.137,-0.11,-0.146,0.04,0.238,0.34,0.424,0.494,0.356,0.002,-0.062,-0.117,
pre-tax-income,-19.583,-19.426,-18.959,-16.601,-15.884,-17.199,-20.588,-23.203,-19.338,-22.543,-20.152,-4.429,-20.73,-18.493,-18.054,16.952,26.259,-28.978,-19.263,-21.596,-15.667,-15.657,-16.088,-13.35,-13.919,-19.94,-11.738,-11.204,-15.255,-11.527,-9.141,-12.385,-10.438,-11.25,-10.133,-6.243,-7.217,-6.384,-5.637,-6.726,-6.391,-6.091,-6.724,-8.699,-6.715,-6.839,-6.02,-6.187,-6.221,-7.823,-7.871,-9.793,-5.125,-3.845,-5.372,
total-provision-income-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,-0.05,-0.022,,-0.327,-0.17,-0.201,0.01,-0.009,-0.025,-0.025,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
net-income,-19.583,-19.426,-18.959,-16.601,-15.884,-17.199,-20.588,-23.203,-19.338,-22.543,-20.152,-4.429,-20.73,-18.493,-18.054,16.952,26.259,-28.978,-19.263,-21.596,-15.667,-15.657,-16.088,-13.35,-13.919,-19.94,-11.738,-11.204,-15.255,-11.527,-9.141,-12.385,-10.438,-11.25,-10.133,-6.243,-7.217,-6.384,-5.637,-6.726,-6.391,-6.091,-6.724,-8.699,-6.665,-6.789,-5.998,-6.885,-5.894,-7.653,-7.67,-9.804,-6.523,-5.078,-6.375,
ebitda,-21.255,-21.448,-21.028,-18.349,-17.403,-18.31,-21.335,-23.72,-19.833,-23.15,-20.668,-19.963,-21.163,-18.656,-18.143,17.257,17.698,-28.512,-18.854,-21.176,-15.161,-15.117,-15.524,-12.709,-13.256,-19.307,-11.446,-11.035,-15.067,-11.345,-8.994,-12.229,-10.23,-11.116,-9.967,-6.019,-6.929,-6.083,-5.327,-6.235,-6.066,-5.763,-6.364,-8.348,-6.446,-6.593,-6.025,-6.507,-6.824,-8.578,-8.698,-9.918,-4.971,-3.626,-5.019,
ebit,-21.054,-21.041,-20.629,-18.174,-17.364,-18.561,-21.815,-24.354,-20.463,-23.616,-21.143,-5.289,-21.549,-19.309,-18.718,16.499,16.981,-29.188,-19.399,-21.661,-15.764,-15.766,-16.235,-13.495,-14.076,-20.113,-11.793,-11.254,-15.288,-11.559,-9.192,-12.447,-10.473,-11.276,-10.151,-6.251,-7.177,-6.317,-5.553,-6.615,-6.288,-6.004,-6.633,-8.562,-6.605,-6.693,-6.06,-6.425,-6.561,-8.247,-8.365,-10.149,-5.127,-3.783,-5.255,
basic-shares-outstanding,139.589,138.761,138.716,138.418,138.586,138.426,138.014,137.18,137.375,136.736,136.722,136.667,136.681,136.68,136.64,125.592,136.439,117.77,111.202,98.367,99.031,97.017,96.792,93.983,96.648,96.58,85.85,73.965,74.647,71.211,70.411,64.248,69.725,58.938,58.389,58.357,47.576,38.54,35.576,26.537,26.655,26.419,26.399,26.386,21.432,15.646,15.638,15.583,15.607,15.556,15.54,10.47,0.514,0.512,0.509,
shares-outstanding,139.589,138.761,138.716,138.418,138.586,138.426,138.014,137.18,137.375,136.736,136.722,136.667,136.681,136.68,136.64,125.592,140.024,117.77,111.202,98.367,99.031,97.017,96.792,93.983,96.648,96.58,85.85,73.965,74.647,71.211,70.411,64.248,69.725,58.938,58.389,58.357,47.576,38.54,35.576,26.537,26.655,26.419,26.399,26.386,21.432,15.646,15.638,15.583,15.607,15.556,15.54,10.47,0.514,0.512,0.509,
eps-basic-net-earnings-per-share,-0.14,-0.14,-0.14,-0.12,-0.12,-0.12,-0.15,-0.17,-0.14,-0.16,-0.15,-0.03,-0.15,-0.14,-0.13,0.19,0.19,-0.25,-0.17,-0.21,-0.16,-0.16,-0.17,-0.14,-0.14,-0.21,-0.14,-0.15,-0.2,-0.16,-0.13,-0.18,-0.15,-0.19,-0.17,-0.11,-0.15,-0.17,-0.16,-0.26,-0.24,-0.23,-0.25,-0.33,-0.31,-0.43,-0.38,-0.44,-0.38,-0.49,-0.49,-0.98,-12.69,-9.92,-12.52,
eps-earnings-per-share-diluted,-0.14,-0.14,-0.14,-0.12,-0.12,-0.12,-0.15,-0.17,-0.14,-0.16,-0.15,-0.03,-0.15,-0.14,-0.13,0.19,0.19,-0.25,-0.17,-0.21,-0.16,-0.16,-0.17,-0.14,-0.14,-0.21,-0.14,-0.15,-0.2,-0.16,-0.13,-0.18,-0.15,-0.19,-0.17,-0.11,-0.15,-0.17,-0.16,-0.26,-0.24,-0.23,-0.25,-0.33,-0.31,-0.43,-0.38,-0.44,-0.38,-0.49,-0.49,-0.98,-12.69,-9.92,-12.52,0.0
