,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
revenue,12.427,26.15,5.338,15.737,12.838,23.476,8.319,4.515,4.275,3.509,3.087,5.692,19.075,5.471,18.41,3.893,10.698,7.134,20.401,1.433,6.336,2.974,0.945,0.175,0.024,0.005,0.022,,
cost-goods-sold,,,,0.632,0.705,-1.448,0.826,3.116,0.985,1.364,0.565,1.146,0.332,0.638,0.778,3.2,0.581,0.505,0.371,3.222,0.369,0.279,0.188,,,,,,
gross-profit,12.427,26.15,5.338,15.105,12.133,24.924,7.493,1.399,3.29,2.145,2.522,4.546,18.743,4.833,17.632,0.693,10.117,6.629,20.03,-1.789,5.967,2.695,0.757,0.175,0.024,0.005,0.022,,
research-development-expenses,52.006,46.399,53.818,52.269,52.693,48.621,47.765,51.052,39.343,42.927,40.565,42.014,31.951,32.069,35.678,32.402,30.367,30.377,36.019,42.192,38.324,46.283,41.723,32.47,32.301,30.4,25.408,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,77.628,68.626,79.004,78.358,75.288,72.18,73.295,83.691,61.272,68.63,61.916,63.526,52.569,52.968,60.052,59.667,53.793,52.427,58.138,67.186,56.398,59.68,60.963,44.255,41.102,38.957,32.196,,
operating-income,-65.201,-42.476,-73.666,-62.621,-62.45,-48.704,-64.976,-79.176,-56.997,-65.121,-58.829,-57.834,-33.494,-47.497,-41.642,-55.774,-43.095,-45.293,-37.737,-65.753,-50.062,-56.706,-60.018,-44.08,-41.078,-38.952,-32.174,,
total-non-operating-income-expense,1.218,2.839,1.166,9.179,2.358,1.096,0.033,-0.757,-9.012,-0.712,-1.107,-0.93,0.344,0.308,0.186,0.112,0.104,0.204,0.211,0.983,0.668,0.214,,,,,,,
pre-tax-income,-63.983,-39.637,-72.5,-53.442,-60.092,-47.608,-64.943,-79.933,-66.009,-65.833,-59.936,-58.764,-33.15,-47.189,-41.456,-55.662,-42.991,-45.089,-37.526,-64.77,-49.394,-56.492,-60.018,-44.08,-41.078,-38.952,-32.174,,
total-provision-income-taxes,-5.552,0.201,0.08,-3.256,-0.659,-6.79,0.144,6.989,0.868,0.454,5.383,8.568,0.812,0.036,0.694,-10.834,4.323,2.514,4.948,-0.46,5.101,1.723,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-58.431,-39.838,-72.58,-50.186,-59.433,-40.818,-65.087,-86.922,-66.877,-66.287,-65.319,-67.332,-33.962,-47.225,-42.15,-44.828,-47.314,-47.603,-42.474,-64.31,-54.495,-58.215,-60.018,-44.08,-41.078,-38.952,-32.174,,
ebitda,-64.295,-41.992,-72.979,-61.763,-61.832,-47.914,-64.076,-78.158,-56.047,-64.145,-57.746,-56.659,-32.703,-47.043,-40.943,-55.077,-42.375,-44.546,-36.912,-64.972,-48.987,-56.02,-59.286,-43.389,-40.521,-38.253,-31.471,,
ebit,-65.201,-42.476,-73.666,-62.621,-62.45,-48.704,-64.976,-79.176,-56.997,-65.121,-58.829,-57.834,-33.494,-47.497,-41.642,-55.774,-43.095,-45.293,-37.737,-65.753,-50.062,-56.706,-60.018,-44.08,-41.078,-38.952,-32.174,,
basic-shares-outstanding,55.858,55.529,54.938,53.969,54.248,53.799,53.256,52.352,52.611,52.255,51.617,44.711,46.47,44.407,38.326,34.15,33.689,33.532,32.83,31.782,31.754,31.768,31.741,31.741,31.741,31.768,,,
shares-outstanding,55.858,55.529,54.938,53.969,54.248,53.799,53.256,52.352,52.611,52.255,51.617,44.711,46.47,44.407,38.326,34.15,33.689,33.532,32.83,31.782,31.754,31.768,31.741,31.741,31.741,31.768,,,
eps-basic-net-earnings-per-share,-1.05,-0.72,-1.32,-0.91,-1.1,-0.76,-1.22,-1.64,-1.27,-1.27,-1.27,-1.37,-0.73,-1.06,-1.1,-1.23,-1.4,-1.42,-1.29,-2.02,-1.72,-1.83,-1.89,-1.39,-1.29,-1.23,,,
eps-earnings-per-share-diluted,-1.05,-0.72,-1.32,-0.91,-1.1,-0.76,-1.22,-1.64,-1.27,-1.27,-1.27,-1.37,-0.73,-1.06,-1.1,-1.23,-1.4,-1.42,-1.29,-2.02,-1.72,-1.83,-1.89,-1.39,-1.29,-1.23,0.0,0.0,0.0
