,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30
revenue,229.011,229.652,231.664,223.132,210.583,211.621,212.953,207.939,193.36,192.306,196.643,201.474,167.621,172.636,171.167,167.273,152.575,155.726,154.537,161.788,144.118,140.923,139.814,142.434,131.447,137.422,135.942,132.161,119.069,122.775,119.228,112.341,104.04,109.565,113.042,105.574,100.988,100.08,98.765,92.613,87.441,83.569,85.492,83.066,78.132,74.766,71.11,69.276,64.376,63.68,58.954,57.646,55.774
cost-goods-sold,72.743,75.313,80.022,74.801,69.83,69.474,69.292,69.287,69.295,65.405,64.229,62.606,57.499,57.501,56.954,65.528,50.343,52.825,51.432,52.629,47.894,47.828,47.513,51.899,43.968,46.19,46.361,44.98,40.736,41.343,39.923,38.729,35.601,34.314,36.21,31.446,29.376,29.775,29.228,26.796,25.198,23.574,24.745,24.537,22.393,21.403,21.121,19.977,18.809,17.919,16.901,14.704,14.956
gross-profit,156.268,154.339,151.642,148.331,140.753,142.147,143.661,138.652,124.065,126.901,132.414,138.868,110.122,115.135,114.213,101.745,102.232,102.901,103.105,109.159,96.224,93.095,92.301,90.535,87.479,91.232,89.581,87.181,78.333,81.432,79.305,73.612,68.439,75.251,76.832,74.128,71.612,70.305,69.537,65.817,62.243,59.995,60.747,58.529,55.739,53.363,49.989,49.299,45.567,45.761,42.053,42.942,40.818
research-development-expenses,24.282,24.175,21.415,16.748,20.575,20.085,19.559,16.095,15.3,16.382,14.176,12.83,15.673,14.818,14.365,13.809,14.485,13.394,14.929,15.029,14.213,13.343,13.996,13.939,13.646,13.879,14.167,13.341,12.121,11.11,10.505,9.619,9.372,9.446,9.975,8.312,9.227,9.051,9.41,8.94,7.742,7.252,7.767,7.197,6.02,5.98,6.298,5.506,6.54,5.46,5.454,4.33,3.143
selling-general-administrative-expenses,80.354,78.16,74.204,77.252,71.537,70.45,70.217,77.831,65.704,66.67,66.087,70.463,57.845,63.888,62.511,70.653,59.607,61.666,60.799,61.483,62.064,61.347,56.122,55.933,53.09,54.173,52.273,51.567,48.26,47.649,46.472,43.93,40.134,43.673,41.468,44.227,39.547,41.004,49.311,35.455,33.476,32.766,32.88,31.007,29.167,30.366,29.529,26.661,21.594,21.577,21.402,18.281,15.066
other-operating-income-expenses,,,,,,,,,,,,,,,,,,,,,2.321,,8.01,,,,,,,,,,,,,,,0.76,29.968,-0.07,-0.185,-0.029,-0.014,-0.215,-0.046,-0.277,-0.168,-0.554,-0.508,-0.465,-0.01,-0.03,-0.113
operating-expenses,177.379,177.648,175.641,169.226,161.942,160.009,159.068,163.213,150.299,148.457,144.492,-124.101,131.017,136.207,133.83,130.381,124.435,127.885,127.16,129.141,121.85,122.518,109.621,129.781,110.704,114.242,112.801,109.888,101.117,100.102,96.9,92.278,85.107,87.433,87.653,83.985,78.15,79.07,57.981,71.261,66.601,63.621,65.406,62.956,57.626,58.026,57.116,52.698,47.451,45.421,43.767,37.345,33.278
operating-income,51.632,52.004,56.023,53.906,48.641,51.612,53.885,44.726,43.061,43.849,52.151,325.575,36.604,36.429,37.337,36.892,28.14,27.841,27.377,32.647,22.268,18.405,30.193,12.6529,20.743,23.18,23.141,22.273,17.952,22.673,22.328,20.063,18.933,22.132,25.389,21.589,22.838,21.01,40.784,21.352,20.84,19.948,20.086,20.11,20.506,16.74,13.994,16.578,16.925,18.259,15.187,20.301,22.496
total-non-operating-income-expense,2.723,3.529,3.886,1.652,1.028,1.405,1.647,0.694,0.287,0.158,0.874,-2.852,-0.546,0.471,0.498,-1.883,-1.05,-1.125,0.153,-1.429,-0.566,0.323,0.2,-0.751,-0.676,-0.238,-2.326,-1.273,0.912,-0.462,-0.582,-0.468,-0.24,0.528,0.194,0.154,1.232,0.309,-0.347,-0.422,0.295,0.368,-0.287,-0.131,0.113,0.64,0.419,0.964,0.566,-0.326,-0.031,0.995,1.596
pre-tax-income,54.355,55.533,59.909,55.558,49.669,53.017,55.532,45.42,43.348,44.007,53.025,322.723,36.058,36.9,37.835,35.009,27.09,26.716,27.53,31.218,21.702,18.728,30.393,11.902,20.067,22.942,20.815,21.0,18.864,22.211,21.746,19.595,18.693,22.66,25.583,21.743,24.07,21.319,40.437,20.93,21.135,20.316,19.799,19.979,20.619,17.38,14.413,17.542,17.491,17.933,15.156,21.296,24.092
