,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2005-09-30,2005-06-30,2005-03-31
revenue,2.024,3.639,2.181,7.524,5.422,6.389,4.767,3.398,0.183,1.584,1.946,0.053,1.466,,,,,,,0.134,0.061,0.113,0.093,0.219,0.362,0.521,0.329,1.575,0.531,0.009,,,,,,,-0.002,0.002,,,,,,,,,,,,,,,,
cost-goods-sold,3.446,3.936,2.467,5.635,4.249,3.732,2.555,3.5,0.921,0.972,1.334,0.038,1.031,,,,,,,0.435,0.202,0.238,0.22,0.714,2.058,1.156,0.882,3.172,1.077,0.171,,,,,,,-0.001,0.001,,,,,,,,,,,,,,,,
gross-profit,-1.422,-0.297,-0.286,1.889,1.173,2.657,2.212,-0.102,-0.738,0.612,0.612,0.015,0.435,,,,,,,-0.301,-0.141,-0.125,-0.127,-0.495,-1.696,-0.635,-0.553,-1.597,-0.546,-0.162,,,,,,,-0.001,0.001,,,,,,,,,,,,,,,,
research-development-expenses,5.884,6.295,5.655,6.439,4.838,5.281,5.265,5.175,4.889,5.07,6.855,7.513,7.011,6.364,8.385,8.558,7.048,6.579,7.484,5.984,9.067,7.882,5.011,4.845,2.909,2.165,2.781,3.109,1.228,0.769,1.177,0.9,0.975,0.849,0.656,0.62,1.02,0.73,0.35,0.22,0.25,0.44,0.34,0.58,0.49,0.8,0.81,1.32,0.31,0.0,0.0,0.0,0.0,0.0
selling-general-administrative-expenses,12.791,12.357,12.234,11.766,9.505,9.673,8.646,9.123,7.448,6.468,6.772,6.474,5.367,4.201,3.922,3.918,2.175,2.363,2.23,1.137,1.937,2.374,2.02,1.509,1.716,1.242,1.197,2.701,1.802,1.068,0.915,0.69,0.506,0.467,0.653,0.87,0.71,0.61,0.42,0.33,0.32,0.41,0.33,0.45,0.4,0.39,0.41,0.56,0.44,0.1,0.03,0.11,0.08,0.1
other-operating-income-expenses,11.647,-0.96,-1.095,1.017,4.308,-0.849,11.369,-0.8,-0.773,0.147,-1.227,1.218,0.1,-3.509,-0.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,99.873,26.133,24.107,25.749,17.303,22.278,7.924,21.312,15.852,14.05,17.824,14.441,15.018,80.729,14.98,13.9,13.564,9.068,9.839,7.934,11.331,10.494,7.251,8.038,9.574,4.563,4.86,8.982,4.107,2.008,2.092,1.59,1.481,1.316,1.309,1.33,1.749,1.361,0.89,0.69,0.69,0.97,0.88,1.25,1.1,1.4,1.43,2.16,0.75,0.1,0.03,0.11,0.08,0.1
operating-income,-97.849,-22.494,-21.926,-18.225,-11.881,-15.889,-3.157,-17.914,-15.669,-12.466,-15.878,-14.388,-13.552,-80.729,-14.98,-13.9,-13.564,-9.068,-9.839,-7.8,-11.27,-10.381,-7.158,-7.819,-9.212,-4.042,-4.531,-7.407,-3.576,-1.999,-2.092,-1.59,-1.481,-1.316,-1.309,-1.33,-1.751,-1.359,-0.89,-0.69,-0.69,-0.97,-0.88,-1.25,-1.1,-1.4,-1.43,-2.16,-0.75,-0.1,-0.03,-0.11,-0.08,-0.1
total-non-operating-income-expense,-0.992,1.454,-1.209,10.961,-9.106,-19.242,1.385,-59.205,-23.582,-2.988,-0.394,-0.42,-0.462,-0.394,-0.578,-0.604,-0.436,-0.28,-0.281,-0.279,-0.237,-0.206,-0.321,-0.212,-2.053,-0.243,-0.246,-0.209,-0.094,-0.003,-0.045,-0.032,-0.012,-0.006,-0.025,0.038,0.001,0.001,,0.906,-0.006,-0.01,,-0.003,0.007,-0.003,-0.001,-0.067,-0.003,0.04,0.04,0.02,0.01,0.009
pre-tax-income,-98.841,-21.04,-23.135,-7.264,-20.987,-35.131,-1.772,-77.119,-39.251,-15.454,-16.272,-14.808,-14.014,-81.123,-15.558,-14.504,-14.0,-9.348,-10.12,-8.079,-11.507,-10.587,-7.479,-8.031,-11.265,-4.285,-4.777,-7.616,-3.67,-2.002,-2.137,-1.61,-1.493,-1.322,-1.334,-1.27,-1.76,-1.37,-0.9,0.24,-0.71,-1.0,-0.89,-1.23,-1.1,-1.41,-1.44,-2.23,-0.76,-0.06,0.01,-0.08,-0.07,-0.09
total-provision-income-taxes,-1.07,-0.869,-0.61,-0.823,-0.781,-0.883,-0.89,-0.963,-0.738,-0.741,-0.858,-0.816,-1.07,-0.992,-2.645,-0.925,-0.099,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net-income,-97.771,-20.171,-22.525,-6.441,-20.206,-34.248,-0.882,-76.156,-38.513,-14.713,-15.414,-13.992,-12.944,-80.131,-12.913,-13.579,-13.901,-9.348,-10.12,-8.079,-11.507,-10.587,-7.479,-8.031,-11.265,-4.285,-4.777,-7.616,-3.67,-2.002,-2.137,-1.608,-1.493,-1.322,-1.334,-1.261,-1.764,-1.373,-0.905,0.248,-0.715,-1.007,-0.893,-1.23,-1.1,-1.41,-1.44,-2.23,-0.76,-0.06,0.01,-0.084,-0.07,-0.096
