,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31
revenue,36.799,28.424,22.169,15.298,14.177,4.011,6.644,9.803,3.828,3.787,5.128,13.693,9.322,4.231,8.258,4.414,2.912,2.385,2.359,2.411,2.427,2.415,2.372,2.056,2.766,2.601,3.108,,0.738,66.865,,
cost-goods-sold,2.684,4.991,7.15,12.401,4.292,1.052,0.336,0.26,0.155,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,34.115,23.433,15.019,2.897,9.885,2.959,6.308,9.543,3.673,3.787,5.128,13.693,9.322,4.231,8.258,4.414,2.912,2.385,2.359,2.411,2.427,2.415,2.372,2.056,2.766,2.601,3.108,,0.738,66.865,,
research-development-expenses,25.647,33.538,35.584,49.461,40.237,66.44,60.067,68.491,55.273,49.292,30.645,56.009,87.209,44.823,58.813,59.813,48.405,52.3,39.858,34.721,31.78,28.983,28.155,22.643,18.088,20.833,17.722,,9.954,13.088,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,80.381,92.384,95.768,102.479,83.321,107.706,91.944,95.654,84.284,69.621,45.666,68.893,100.765,61.867,73.564,70.694,58.476,61.212,48.863,41.671,38.204,33.92,33.396,27.412,21.995,24.541,20.761,,12.833,16.147,,
operating-income,-43.582,-63.96,-73.599,-87.181,-69.144,-103.695,-85.3,-85.851,-80.456,-65.834,-40.538,-55.2,-91.443,-57.636,-65.306,-66.28,-55.564,-58.827,-46.504,-39.26,-35.777,-31.505,-31.024,-25.356,-19.229,-21.94,-17.653,,-12.095,50.718,,
total-non-operating-income-expense,-6.045,-4.517,-4.497,-1.705,-2.033,-2.276,0.79,-5.65,-2.485,-3.58,-1.226,0.436,0.407,0.297,0.332,-0.19,0.406,0.498,-0.409,0.004,-0.016,0.155,0.298,0.294,0.679,0.342,-0.489,,0.607,-0.956,,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-49.627,-66.204,-78.156,-88.548,-71.303,-106.194,-84.178,-91.781,-82.936,-69.654,-41.719,-53.841,-92.889,-57.339,-64.974,-66.105,-55.158,-58.329,-46.913,-39.256,-35.793,-31.35,-30.726,-25.062,-18.55,-21.598,-18.142,,-11.488,2.319,,
ebitda,-43.114,-60.416,-73.069,-86.727,-68.842,-103.478,-85.035,-85.56,-79.824,-65.247,-39.873,-54.548,-90.743,-56.882,-64.375,-65.285,-54.506,-57.716,-45.183,-37.826,-34.556,-30.217,-29.722,-24.202,-18.188,-21.224,-16.872,,-11.301,50.718,,
ebit,-43.582,-63.96,-73.599,-87.181,-69.144,-103.695,-85.3,-85.851,-80.456,-65.834,-40.538,-55.2,-91.443,-57.636,-65.306,-66.28,-55.564,-58.827,-46.504,-39.26,-35.777,-31.505,-31.024,-25.356,-19.229,-21.94,-17.653,,-12.095,50.718,,
basic-shares-outstanding,73.018,68.128,67.07,66.017,66.165,65.885,65.51,59.508,58.941,57.051,56.693,56.481,56.508,56.4,56.398,51.981,52.576,52.147,49.528,42.977,41.402,41.229,41.002,22.842,35.201,14.682,1.402,,1.37,1.356,,
shares-outstanding,73.018,68.128,67.07,66.017,66.165,65.885,65.51,59.508,58.941,57.051,56.693,56.481,56.508,56.4,56.398,51.981,52.576,52.147,49.528,42.977,41.402,41.229,41.002,22.842,35.201,14.682,1.402,,1.37,1.986,,
eps-basic-net-earnings-per-share,-0.68,-0.97,-1.17,-1.34,-1.08,-1.61,-1.28,-1.44,-1.41,-1.22,-0.74,-0.95,-1.64,-1.02,-1.15,-1.24,-1.05,-1.12,-0.95,-0.82,-0.86,-0.76,-0.75,11.29,-0.53,-1.47,-12.94,,-8.38,1.71,,
eps-earnings-per-share-diluted,-0.68,-0.97,-1.17,-1.34,-1.08,-1.61,-1.28,-1.44,-1.41,-1.22,-0.74,-0.95,-1.64,-1.02,-1.15,-1.24,-1.05,-1.12,-0.95,-0.82,-0.86,-0.76,-0.75,11.29,-0.53,-1.47,-12.94,0.0,-8.38,1.67,0.0,0.0
