,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,521.543,519.562,516.543,503.9551,506.887,500.335,494.91,473.472,467.256,458.555,447.539,460.789,486.484,489.788,407.704,321.6301,310.803,293.873,244.552,196.763,197.572,143.96,138.021,128.487,122.551,119.701,111.963,76.895,69.409,68.089,63.761,52.245,44.667,65.224,12.065,,10.843,
other-operating-income-expenses,-92.975,-94.677,-93.865,-88.521,-90.464,-87.282,-88.231,-82.666,-82.328,-83.122,-83.711,-81.606,-79.748,-80.955,-70.247,-57.847,-57.244,-51.128,-40.527,-31.466,-31.432,-24.646,-23.11,-21.148,-22.345,-20.096,-16.983,-12.009,-11.38,-10.407,-8.981,-7.411,-4.915,-5.959,-1.886,,-2.353,
operating-expenses,675.272,675.735,671.295,651.8399,656.876,647.781,643.2021,613.2119,605.075,596.313,583.834,594.6882,622.39,627.962,520.732,407.9961,393.479,368.138,304.069,242.5289,242.543,177.43,169.336,157.149,151.966,146.403,134.895,93.148,84.64,82.369,76.594,62.826,52.082,74.773,14.545,,13.769,
operating-income,101.979,113.627,89.322,91.7069,104.04,117.957,99.0389,111.3002,111.639,119.583,95.36,108.1999,112.275,128.586,96.081,87.3229,86.251,85.522,61.714,52.3721,51.936,36.373,32.082,32.85,32.736,31.091,26.318,21.104,18.476,18.161,12.969,12.529,8.64,-11.198,2.301,,2.103,
total-non-operating-income-expense,-52.419,-53.822,-52.451,-433.043,-49.004,-48.699,-50.951,-50.661,-50.18,-53.367,-46.876,-65.762,-228.089,-54.734,-63.602,-34.805,-44.576,-36.167,-40.509,-17.532,-18.78,0.989,-11.286,-12.915,-10.449,-10.8,-19.586,-13.598,-8.165,-8.141,-7.977,-36.0,-4.161,-7.748,-2.829,,-0.282,
pre-tax-income,49.56,59.805,36.871,-341.336,55.036,69.258,48.088,60.639,61.459,66.216,48.484,42.438,-115.814,73.852,32.479,52.518,41.675,49.355,21.205,34.84,33.156,37.362,20.796,19.935,22.287,20.291,6.732,7.506,10.311,10.02,4.992,-23.471,4.479,-18.946,-0.528,,1.821,
total-provision-income-taxes,6.837,11.604,7.36,-9.807,8.757,10.368,-2.786,-9.05,15.97,16.578,13.711,1.012,2.396,18.261,7.11,18.594,12.669,15.512,6.613,12.539,7.703,14.905,7.775,7.536,7.741,8.02,2.678,3.018,3.723,3.919,1.665,-8.698,0.908,2.789,-0.271,,0.172,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,42.723,48.201,29.511,-331.529,46.279,58.89,50.874,69.689,45.489,49.638,34.773,41.426,-118.21,55.591,25.369,33.924,29.006,33.843,14.592,22.301,25.453,22.457,13.021,12.399,14.546,12.271,4.054,4.488,6.588,6.101,3.327,-14.773,3.571,-21.735,-0.257,,1.649,
income-from-discontinued-operations,,,,,,,,,,,,,,,,0.028,0.08,0.001,0.002,-0.172,-0.051,-0.006,0.037,-0.119,-0.182,-0.074,-0.316,-0.123,-0.138,-0.192,0.352,-1.136,-0.448,-0.122,0.008,,-0.083,
net-income,42.566,48.14,29.471,-331.637,46.232,58.836,50.819,69.629,45.618,49.63,34.958,41.818,-117.808,56.445,25.688,34.566,29.55,33.844,14.594,22.129,25.402,22.451,13.058,12.28,14.364,12.197,3.738,4.365,6.45,5.909,3.679,-15.909,3.123,-21.857,-0.249,,1.566,
ebitda,145.638,157.7029,132.79,133.8719,146.338,160.484,141.3369,151.5692,150.576,157.233,131.369,144.7679,151.451,168.147,126.203,107.6449,104.94,102.198,76.286,64.3121,63.156,42.998,38.162,38.27,37.726,35.873,30.48,24.392,21.197,20.444,15.166,14.286,9.897,-8.906,2.544,,2.103,
ebit,101.979,113.627,89.322,91.707,104.04,117.957,99.0389,111.3001,111.639,119.583,95.36,108.2001,112.275,128.586,96.081,87.3229,86.251,85.522,61.714,52.3721,51.936,36.373,32.082,32.85,32.736,31.091,26.318,21.104,18.476,18.161,12.969,12.529,8.64,-11.198,2.301,,2.103,
basic-shares-outstanding,87.649,87.618,87.505,87.288,87.344,87.303,87.121,86.948,87.017,86.954,86.762,85.701,86.618,86.553,82.943,68.085,70.664,68.296,62.53,55.063,59.175,51.616,50.12,50.004,50.04,50.009,49.911,38.477,41.757,36.507,32.12,18.757,17.633,17.633,17.633,,17.633,
shares-outstanding,87.859,87.837,87.694,87.288,87.537,87.467,87.294,87.06,87.172,87.08,86.908,85.972,86.618,86.876,83.42,68.391,71.11,68.735,62.894,55.327,59.409,51.819,50.486,50.261,50.343,50.282,50.25,38.696,41.991,36.695,32.333,18.757,17.633,17.633,17.633,,17.633,
eps-basic-net-earnings-per-share,0.49,0.55,0.34,-3.79,0.53,0.67,0.58,0.81,0.52,0.57,0.4,0.47,-1.36,0.65,0.31,0.5,0.42,0.5,0.23,0.39,0.43,0.43,0.26,0.25,0.29,0.24,0.07,0.11,0.15,0.16,0.11,-0.79,0.18,-1.24,-0.01,,0.09,
