,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
revenue,212.434,229.734,230.127,238.147,194.106,205.4,198.537,217.602,170.503,179.693,177.191,193.023,157.332,170.716,169.291,166.833,80.139,80.42,77.934,45.477,76.675,86.85,89.025,14.763,66.747,78.135,82.685,79.033,58.015,66.014,74.458,69.042,57.556,65.158,69.435,61.265,49.707,54.563,61.843,57.321,144.141,100.059,50.855,
cost-goods-sold,44.441,48.338,46.317,49.149,44.307,45.558,41.139,47.278,38.421,38.122,37.126,50.583,46.149,49.009,46.666,49.81,23.052,21.635,19.125,11.522,18.01,21.227,22.464,-5.184,18.972,22.309,23.624,26.974,15.73,18.098,21.116,20.174,16.65,18.017,20.041,17.883,13.553,14.725,17.276,15.828,39.031,27.577,14.69,
gross-profit,167.993,181.396,183.81,188.998,149.799,159.842,157.398,170.324,132.082,141.571,140.065,142.44,111.183,121.707,122.625,117.023,57.087,58.785,58.809,33.955,58.665,65.623,66.561,19.947,47.775,55.826,59.061,52.059,42.285,47.916,53.342,48.868,40.906,47.141,49.394,43.382,36.154,39.838,44.567,41.493,105.11,72.482,36.165,
research-development-expenses,18.045,18.756,16.972,16.749,13.829,14.665,13.899,13.144,11.992,12.547,12.432,13.809,12.481,12.108,12.116,14.695,9.57,7.957,7.117,7.118,6.055,6.068,5.722,3.915,4.665,5.543,6.182,6.195,5.26,5.446,5.623,5.231,4.309,5.189,5.11,5.182,3.898,4.003,4.813,3.713,14.407,9.937,4.725,
selling-general-administrative-expenses,152.78,152.112,153.306,160.664,139.223,140.826,137.248,133.149,131.421,130.818,129.834,140.489,129.84,136.483,134.746,173.576,85.997,82.605,82.199,111.141,57.127,62.504,58.848,80.385,46.797,51.467,52.136,46.29,38.524,41.795,43.838,41.553,37.937,41.234,40.724,38.867,34.923,34.389,40.996,37.946,98.474,64.82,32.067,
other-operating-income-expenses,,,,,,,,,,,,,,,,,,,,,4.366,-0.686,-2.686,-205.24,3.918,-3.408,-1.519,-9.831,-6.503,-2.91,,-0.704,-0.056,-0.132,,,-0.054,-0.028,-0.224,-0.815,-1.049,-0.61,,
operating-expenses,223.574,227.068,224.182,234.261,203.24,207.058,199.427,200.393,189.012,188.486,186.789,212.3149,195.936,205.084,199.985,247.0941,121.181,114.762,111.055,127.874,81.1,94.805,94.054,280.235,70.492,86.511,87.298,92.998,68.747,70.885,73.224,70.496,61.693,67.469,68.685,64.704,55.27,56.026,66.306,64.992,161.444,108.331,54.097,
operating-income,-11.14,2.666,5.945,3.886,-9.134,-1.658,-0.89,17.2091,-18.509,-8.793,-9.598,-19.2919,-38.604,-34.368,-30.694,-80.2611,-41.042,-34.342,-33.121,-82.397,-4.425,-7.955,-5.029,-265.472,-3.745,-8.376,-4.613,-13.965,-10.732,-4.871,1.234,-1.454,-4.137,-2.311,0.75,-3.439,-5.563,-1.463,-4.463,-7.671,-17.303,-8.272,-3.242,
total-non-operating-income-expense,-21.765,-18.164,-32.59,-26.152,-23.655,-93.425,-18.812,-17.827,-24.435,-11.782,-26.17,-17.203,-16.43,-10.963,-10.786,-15.054,-21.421,-2.806,-12.961,-143.011,-1.373,-1.532,-1.108,59.391,-1.604,-3.741,-2.243,-3.078,-0.681,-0.238,-0.348,0.165,0.386,-0.228,-32.051,-4.532,-8.727,-8.533,-7.91,-33.177,-11.948,-7.181,-0.896,
pre-tax-income,-32.905,-15.498,-26.645,-22.266,-32.789,-95.083,-19.702,-0.618,-42.944,-20.575,-35.768,-36.495,-55.034,-45.331,-41.48,-95.315,-62.463,-37.148,-46.082,-225.408,-5.798,-9.487,-6.137,-206.081,-5.349,-12.117,-6.856,-17.043,-11.413,-5.109,0.886,-1.289,-3.751,-2.539,-31.301,-7.971,-14.29,-9.996,-12.373,-40.848,-29.251,-15.453,-4.138,
