,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
revenue,12.397,6.677,4.476,3.024,1.902,1.274,0.865,,,,,,,
cost-goods-sold,1.389,1.089,0.738,0.718,0.319,0.351,0.2,,,,,,,
gross-profit,11.008,5.588,3.738,2.306,1.583,0.923,0.665,,,,,,,
research-development-expenses,5.547,5.295,4.562,3.363,2.989,2.046,1.701,1.212,6.641,4.749,4.23,,3.868,
selling-general-administrative-expenses,,,,,,,,,,,,,,
operating-expenses,32.206,32.384,31.64,27.742,25.394,24.257,29.912,19.696,13.194,8.337,7.303,,5.629,
operating-income,-19.809,-25.707,-27.164,-24.718,-23.492,-22.983,-29.047,-19.696,-13.194,-8.337,-7.303,,-5.629,
total-non-operating-income-expense,-8.999,-1.67,-1.71,-1.664,-1.631,-1.598,-1.525,0.145,0.126,0.129,-0.772,,-0.477,
pre-tax-income,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,
net-income,-28.808,-27.377,-28.874,-26.382,-25.123,-24.581,-30.572,-20.268,-17.192,-12.837,-11.67,,-9.385,
ebitda,-19.375,-25.263,-26.782,-24.392,-23.228,-22.86,-28.817,-19.63,-13.156,-8.303,-7.077,,-5.629,
ebit,-19.809,-25.707,-27.164,-24.718,-23.492,-22.983,-29.047,-19.696,-13.194,-8.337,-7.303,,-5.629,
basic-shares-outstanding,41.454,41.311,41.256,39.766,41.207,38.688,37.849,10.999,4.068,4.068,4.068,,4.05,
shares-outstanding,41.454,41.311,41.256,39.766,41.207,38.688,37.849,10.999,4.068,4.068,4.068,,4.05,
eps-basic-net-earnings-per-share,-0.69,-0.66,-0.7,-0.62,-0.61,-0.64,-0.81,4.63,-4.23,-3.16,-2.87,,-2.32,
eps-earnings-per-share-diluted,-0.69,-0.66,-0.7,-0.62,-0.61,-0.64,-0.81,4.63,-4.23,-3.16,-2.87,0.0,-2.32,0.0
