,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
revenue,16.0,16.572,12.728,15.635,13.737,13.252,10.152,,10.491,10.308,
cost-goods-sold,4.192,4.171,2.807,3.711,3.034,3.245,2.457,,2.636,2.501,
gross-profit,11.808,12.401,9.921,11.924,10.703,10.007,7.695,,7.855,7.807,
research-development-expenses,3.489,3.224,2.786,2.222,2.125,2.33,1.555,,1.843,2.147,
selling-general-administrative-expenses,,,,,,,,,,,
operating-expenses,22.328,23.179,19.784,21.296,18.069,18.488,14.757,,13.301,12.885,
operating-income,-6.328,-6.607,-7.056,-5.661,-4.332,-5.236,-4.605,,-2.81,-2.577,
total-non-operating-income-expense,-0.539,-0.487,-0.473,-0.482,-0.629,-2.26,-0.892,,-0.943,-0.291,
pre-tax-income,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,
net-income,-6.867,-7.094,-7.529,-6.143,-4.961,-7.496,-5.497,,-3.753,-2.868,
ebitda,-6.02,-6.354,-6.852,-5.45,-4.124,-4.912,-4.466,,-2.662,-2.577,
ebit,-6.328,-6.607,-7.056,-5.661,-4.332,-5.236,-4.605,,-2.81,-2.577,
basic-shares-outstanding,18.508,18.351,18.026,8.948,17.382,0.245,0.226,,0.194,0.173,
shares-outstanding,18.508,18.351,18.026,8.948,17.382,0.245,0.226,,0.194,0.173,
eps-basic-net-earnings-per-share,-0.37,-0.39,-0.42,52.63,-0.29,-30.6,-24.43,,-19.35,-16.58,
eps-earnings-per-share-diluted,-0.37,-0.39,-0.42,52.63,-0.29,-30.6,-24.43,0.0,-19.35,-16.58,0.0
