,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31
eps-earnings-per-share-diluted,-0.86,-0.82,-0.64,-0.63,-0.59,-0.64,-0.7,9.31,-0.55,-1.09,-11.24,0.0,-5.21,-5.63,0.0
research-development-expenses,22.941,23.489,18.08,19.078,15.873,18.385,17.347,15.076,14.054,13.667,11.084,,5.695,6.454,
selling-general-administrative-expenses,,,,,,,,,,,,,,,
operating-expenses,34.024,32.583,25.881,26.086,20.822,21.653,20.725,17.282,15.929,15.379,12.378,,6.613,7.429,
operating-income,-34.024,-32.583,-25.881,-26.086,-20.822,-21.653,-20.725,-17.282,-15.929,-15.379,-12.378,,-6.613,-7.429,
total-non-operating-income-expense,1.66,1.893,1.929,1.994,0.904,0.785,0.315,0.301,0.328,0.185,0.033,,0.056,0.05,
pre-tax-income,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,
net-income,-32.364,-30.69,-23.952,-24.092,-19.918,-20.868,-20.41,-16.981,-15.601,-15.483,-16.813,,-7.762,-8.365,
ebitda,-33.938,-32.518,-25.817,-26.026,-20.774,-21.618,-20.693,-17.252,-15.902,-15.359,-12.366,,-6.595,-7.429,
ebit,-34.024,-32.583,-25.881,-26.086,-20.822,-21.653,-20.725,-17.282,-15.929,-15.379,-12.378,,-6.613,-7.429,
basic-shares-outstanding,37.54,37.471,37.397,33.3167,33.829,32.782,29.36,18.198,28.3187,14.208,1.496,,1.4906,1.486,
shares-outstanding,37.54,37.471,37.397,33.3167,33.829,32.782,29.36,18.198,28.3187,14.208,1.496,,1.4906,1.486,
eps-basic-net-earnings-per-share,-0.86,-0.82,-0.64,-0.63,-0.59,-0.64,-0.7,9.31,-0.55,-1.09,-11.24,,-5.21,-5.63,
