,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
revenue,,,,,,,,,,,,
gross-profit,0.441,0.392,0.27,-0.442,1.602,1.395,1.129,,,,,
research-development-expenses,25.691,22.827,20.536,16.267,13.394,10.29,7.997,9.59,4.9466,4.0563,2.7991,
selling-general-administrative-expenses,,,,,,,,,,,,
operating-expenses,31.729,28.365,25.393,21.369,17.237,14.817,11.825,12.289,6.6648,6.0385,4.6915,
operating-income,-31.288,-27.973,-25.123,-21.811,-15.635,-13.422,-10.696,-12.289,-6.6648,-6.0385,-4.6915,
total-non-operating-income-expense,1.661,1.703,1.271,1.387,1.487,0.996,0.479,0.366,0.1372,0.0358,-0.8633,
pre-tax-income,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,0.0,,,,
net-income,-29.627,-26.27,-23.852,-20.424,-14.148,-12.426,-10.217,-11.921,-6.5276,-6.0028,-5.5548,
ebitda,-29.597,-26.331,-23.857,-21.248,-15.367,-13.185,-10.475,-12.0924,-6.475,-5.875,-4.5614,
ebit,-31.288,-27.973,-25.123,-21.811,-15.635,-13.422,-10.696,-12.289,-6.6648,-6.0385,-4.6915,
basic-shares-outstanding,43.905,43.076,37.385,28.552,37.273,36.861,2.5,2.479,2.351,2.296,1.992,
shares-outstanding,43.905,43.076,37.385,28.552,37.273,36.861,2.5,2.479,2.351,2.296,1.992,
eps-basic-net-earnings-per-share,-0.67,-0.61,-0.64,2.81,-0.38,-0.34,-4.09,-3.92,-2.78,-2.61,-2.79,
eps-earnings-per-share-diluted,-0.67,-0.61,-0.64,2.81,-0.38,-0.34,-4.09,-3.92,-2.78,-2.61,-2.79,0.0
