,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-06-30,2011-06-30
revenue,189.72,203.883,205.736,218.223,200.153,211.786,208.908,205.876,193.412,194.835,189.861,191.598,187.987,189.172,183.461,191.773,187.12,184.95,187.495,188.688,187.458,183.677,173.267,172.742,162.228,,162.685,,
cost-goods-sold,132.057,138.58,140.864,149.579,134.348,144.277,139.839,138.957,130.03,131.709,129.241,128.1,126.988,129.599,124.671,130.311,127.913,127.194,128.385,132.603,127.129,132.773,120.425,121.586,112.716,,116.929,,
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,179.573,191.784,183.168,192.517,177.3,185.677,182.416,181.938,171.025,171.3161,159.887,168.97,166.174,169.078,162.29,169.152,165.262,163.987,165.682,168.901,162.353,170.62,155.945,155.724,145.831,,148.224,,
operating-income,10.147,12.0991,22.568,25.706,22.853,26.1089,26.492,23.938,22.387,23.519,29.974,22.628,21.813,20.094,21.171,22.621,21.858,20.9631,21.813,19.787,25.105,13.057,17.322,17.018,16.397,,14.461,,
total-non-operating-income-expense,-6.575,-2.888,-3.053,-5.632,-0.148,-2.582,-2.104,-2.727,-3.443,-6.3,-3.526,-3.324,-4.241,-2.071,-2.022,-6.524,1.634,-5.153,1.031,-2.497,-2.286,-29.2,-9.019,-9.884,-9.383,,-10.195,,
pre-tax-income,3.572,9.211,19.515,20.074,22.705,23.527,24.388,21.211,18.944,17.219,26.448,19.304,17.572,18.023,19.149,16.097,23.492,15.81,22.844,17.29,22.819,-16.143,8.303,7.134,7.014,,4.266,,
total-provision-income-taxes,1.057,0.409,4.666,5.326,6.391,1.408,4.548,14.179,3.052,1.841,2.805,5.887,5.395,2.803,0.572,-14.081,4.739,5.406,6.148,3.042,3.887,1.499,1.933,4.832,1.171,,0.086,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,2.515,8.802,14.849,14.748,16.314,22.119,19.84,7.032,15.892,15.378,23.643,13.417,12.177,15.22,18.577,30.178,18.753,10.404,16.696,14.248,18.932,-17.642,6.37,2.302,5.843,,4.18,,
ebitda,18.149,19.4761,29.664,32.767,29.765,33.2469,33.464,30.789,29.252,30.17,37.069,29.327,28.384,27.123,27.277,28.256,27.529,26.8591,27.411,25.269,30.7,19.161,22.84,22.705,21.989,,14.461,,
ebit,10.147,12.099,22.568,25.706,22.853,26.109,26.492,23.938,22.387,23.519,29.974,22.628,21.813,20.094,21.171,22.621,21.858,20.963,21.813,19.787,25.105,13.057,17.322,17.018,16.397,,14.461,,
basic-shares-outstanding,40.454,40.412,40.442,40.383,40.369,40.181,40.254,40.186,39.944,39.524,39.512,39.411,39.408,39.254,39.356,39.163,39.092,38.969,38.998,38.957,38.9,32.193,30.458,30.458,30.458,,30.458,,
shares-outstanding,40.504,40.523,40.531,40.523,40.56,40.385,40.39,40.364,40.293,40.042,40.059,40.002,39.906,39.962,40.0,39.978,40.012,39.815,39.919,39.813,39.584,32.193,30.657,30.458,30.458,,30.458,,
eps-basic-net-earnings-per-share,0.06,0.21,0.37,0.37,0.4,0.55,0.49,0.17,0.4,0.38,0.6,0.34,0.31,0.39,0.47,0.77,0.48,0.26,0.43,0.37,0.49,-0.58,0.21,0.08,0.19,,0.14,,
eps-earnings-per-share-diluted,0.06,0.22,0.37,0.36,0.4,0.56,0.49,0.17,0.39,0.37,0.59,0.34,0.31,0.39,0.46,0.75,0.47,0.25,0.42,0.36,0.48,-0.58,0.21,0.08,0.19,0.0,0.14,0.0,0.0
